concentration,temperature,538-604,646-680,538-680
0,20,2.330474333,2.385817667,4.556314
0.01,20,2.494637667,2.508133333,4.784019333
0.1,20,2.559295333,2.550134333,4.946433333
1,20,3.143641,3.160844333,6.547634667
2.5,20,2.945217667,3.104776667,6.893043333
5,20,2.669468667,3.128927333,8.268085667
7.5,20,2.55446,3.075923333,8.347425
10,20,2.449063333,3.328413333,10.85763333
25,20,1.873530333,3.305583333,13.78584
50,20,1.294954,3.201640333,15.87143667
75,20,0.9786468,2.99992,18.03334333
100,20,0.8572105,2.750896667,13.79687
0,25,2.131236667,2.24411,4.310143667
0.01,25,2.300847667,2.384821333,4.607288333
0.1,25,2.364882,2.438737667,4.789335333
1,25,2.778567333,2.925883667,6.075560667
2.5,25,2.605186667,2.866459667,6.360651
5,25,2.403938333,2.916403333,7.498650333
7.5,25,2.301957333,2.874184667,7.556697
10,25,2.184576667,3.071692,9.740163333
25,25,1.658310333,3.030198,12.14941667
50,25,1.156421667,2.915705333,13.41978
75,25,0.864865933,2.740771333,15.71914667
100,25,0.769032833,2.469938,11.76926667
0,30,1.936705667,2.142111333,4.080321667
0.01,30,2.116967667,2.293114,4.343048667
0.1,30,2.183467333,2.353154,4.497132333
1,30,2.456324333,2.755438,5.571221333
2.5,30,2.31852,2.685297333,5.761461333
5,30,2.159357333,2.729658,6.64196
7.5,30,2.076407667,2.694614,6.706046
10,30,1.96738,2.867556667,8.259827667
25,30,1.495423333,2.806448,9.959627333
50,30,1.061435667,2.662554667,10.3726
75,30,0.790031133,2.520416667,12.6359
100,30,0.7329512,2.29349,9.592472333
0,35,1.73108,2.040324333,3.702381
0.01,35,1.905147333,2.190446667,4.041303333
0.1,35,1.97213,2.244513333,4.109422333
1,35,2.164570333,2.576734667,5.07356
2.5,35,2.049867333,2.50513,5.189568
5,35,1.941251,2.541305333,5.862418
7.5,35,1.876790667,2.497831,5.865654333
10,35,1.776657667,2.638213333,6.966888
25,35,1.357051333,2.531785667,7.542281333
50,35,0.956531667,2.360073333,7.101841333
75,35,0.707714567,2.244065667,9.156906667
100,35,0.688867467,2.083015667,7.267465333
0,40,1.405778667,1.842614,3.235855667
0.01,40,1.604150667,2.059111,3.508167
0.1,40,1.664727667,2.087414,3.715514
1,40,1.741757667,2.295367667,4.320053333
2.5,40,1.651981,2.213036333,4.400432
5,40,1.584753667,2.235824333,4.822843667
7.5,40,1.535570667,2.195562,4.779311667
10,40,1.465068,2.277021667,5.389724667
25,40,1.138743667,2.124772333,5.095657333
50,40,0.812459333,1.933643333,4.175786333
75,40,0.596026067,1.822664,5.525281667
100,40,0.616616067,1.73515,4.920383333
0,43,1.092300333,1.564116333,2.657816667
0.01,43,1.329723333,1.834163333,3.159717667
0.1,43,1.387740667,1.886654667,3.303311333
1,43,1.352133333,1.950412,3.552456667
2.5,43,1.289403667,1.856277667,3.625917
5,43,1.267974333,1.894704333,3.94302
7.5,43,1.233948667,1.857127667,3.896585
10,43,1.181421667,1.893348,4.16383
25,43,0.9153651,1.713088333,3.569831667
50,43,0.649950333,1.536611333,2.703561333
75,43,0.480414333,1.424933333,3.378807333
100,43,0.5345058,1.431796667,3.449168
