CSV Report,2023_08_03_DNA_MOPS_75_Na_salz.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,5.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,5.0,5.00
Stage 5,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_260.00nm_80.0-5.0C,,0_mM_unentsalzen_260.00nm_5.0-80.0C,,0_mM_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_entsalzen_260.00nm_80.0-5.0C,,0_mM_entsalzen_260.00nm_5.0-80.0C,,0_mM_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_400.00nm_80.0-5.0C,,0_mM_unentsalzen_400.00nm_5.0-80.0C,,0_mM_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_entsalzen_400.00nm_80.0-5.0C,,0_mM_entsalzen_400.00nm_5.0-80.0C,,0_mM_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_entsalzen_400.00nm_5.0-80.0C_R1,
Collection Time,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),,2023-08-03 10:47:27 (+02:00),
Cell Number,Cell 3,,Cell 3,,Cell 3,,Cell 3,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 3,,Cell 3,,Cell 3,,Cell 3,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,80,0.168717972542547,5,0.189378852278025,,,,,80,0.218548665548097,5,0.226526646066507,,,,,80,0.181996622395247,5,0.194856285964813,,,,,80,0.20275215417865,5,0.21197343249617,,,,,80,-0.0375102242696298,5,0.020012540093932,,,,,80,-0.0228446638154787,5,0.0342824805516363,,,,,80,-0.0430996415229664,5,0.0129014116663075,,,,,80,-0.0402069869938593,5,0.0162183132254218,,,,
,79.5,0.153279918739702,5.5,0.190192293383528,,,,,79.5,0.202847754907798,5.5,0.227452254602496,,,,,79.5,0.166452724052004,5.5,0.195100524291515,,,,,79.5,0.187311462308359,5.5,0.212047831846744,,,,,79.5,-0.0506154996616065,5.5,0.0204789050357122,,,,,79.5,-0.0359739209025052,5.5,0.0348158412871457,,,,,79.5,-0.0562537949617427,5.5,0.0129865420605814,,,,,79.5,-0.0533953912541401,5.5,0.0161995710136906,,,,
,79,0.157714990954362,6,0.191392183385423,,,,,79,0.206902748048139,6,0.228831905790367,,,,,79,0.170719834325493,6,0.196562137090978,,,,,79,0.191714081266226,6,0.212642711416275,,,,,79,-0.0462688048431076,6,0.0212849368039036,,,,,79,-0.0316363183130794,6,0.0357649876484724,,,,,79,-0.0517588689561696,6,0.0139781227458644,,,,,79,-0.0489041577170971,6,0.0166768408045079,,,,
,78.5,0.166231918739143,6.5,0.19338858827709,,,,,78.5,0.214911742435896,6.5,0.231060415463404,,,,,78.5,0.179519133402127,6.5,0.200336343744881,,,,,78.5,0.200592076408944,6.5,0.213364730291428,,,,,78.5,-0.038417916033973,6.5,0.0226359981438766,,,,,78.5,-0.0237871989796581,6.5,0.0375430758051973,,,,,78.5,-0.0437027262688945,6.5,0.0168742539856332,,,,,78.5,-0.0408569785677645,6.5,0.0175350573196963,,,,
