CSV Report,2023_08_03_DNA_MOPS_75_Na_salz_2.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,60.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,60.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,60.0,5.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_20.0-60.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_20.0-60.0C_R1,,0_mM_unentsalzen_260.00nm_60.0-20.0C,,0_mM_unentsalzen_260.00nm_20.0-60.0C,,0_mM_unentsalzen_260.00nm_60.0-20.0C_R1,,0_mM_unentsalzen_260.00nm_20.0-60.0C_R1,,0_mM_entsalzen_260.00nm_60.0-20.0C,,0_mM_entsalzen_260.00nm_20.0-60.0C,,0_mM_entsalzen_260.00nm_60.0-20.0C_R1,,0_mM_entsalzen_260.00nm_20.0-60.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_20.0-60.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_60.0-20.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_20.0-60.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_60.0-20.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_20.0-60.0C_R1,,0_mM_unentsalzen_400.00nm_60.0-20.0C,,0_mM_unentsalzen_400.00nm_20.0-60.0C,,0_mM_unentsalzen_400.00nm_60.0-20.0C_R1,,0_mM_unentsalzen_400.00nm_20.0-60.0C_R1,,0_mM_entsalzen_400.00nm_60.0-20.0C,,0_mM_entsalzen_400.00nm_20.0-60.0C,,0_mM_entsalzen_400.00nm_60.0-20.0C_R1,,0_mM_entsalzen_400.00nm_20.0-60.0C_R1,
Collection Time,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),,2023-08-03 13:46:05 (+02:00),
Cell Number,Cell 3,,Cell 3,,Cell 3,,Cell 3,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 3,,Cell 3,,Cell 3,,Cell 3,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,60,0.0705909745593912,20,0.192409453475807,60,0.242678111096044,20,0.193589951428993,60,0.118216661806772,20,0.230059617586155,60,0.29164112310484,20,0.231961337998481,60,0.0833423038890613,20,0.202257763565778,60,0.255879174851532,20,0.203844019803839,60,0.10299441714352,20,0.221174561789183,60,0.276032226541799,20,0.222994445703904,60,-0.125834933838026,20,0.0198084119662139,60,0.0195286441807734,20,0.0196277817344703,60,-0.111618706758668,20,0.0336666552190566,60,0.033755118014205,20,0.0334975046599353,60,-0.132191847675554,20,0.0135401304064486,60,0.0135869398699078,20,0.0133464170667311,60,-0.129638823118958,20,0.0164736687107158,60,0.0161672960440075,20,0.0162459997822555
,59.5,0.0777233219157792,20.5,0.187293330161704,59.5,0.242606909325701,20.5,0.193576692519277,59.5,0.125351926727448,20.5,0.224903364680854,59.5,0.291550638052666,20.5,0.231948139275431,59.5,0.0907287156971238,20.5,0.196702863562831,59.5,0.255783101143433,20.5,0.203884429203852,59.5,0.110419121992781,20.5,0.215589278537488,59.5,0.275882753779174,20.5,0.222984412790664,59.5,-0.120288871350919,20.5,0.0154259372409309,59.5,0.01955553141794,20.5,0.0196099755971614,59.5,-0.106075315689843,20.5,0.0292477537645196,59.5,0.0337533563938358,20.5,0.0334597148464135,59.5,-0.12608824840063,20.5,0.00876407270993305,59.5,0.0135883796259682,20.5,0.0133568898426957,59.5,-0.123532950135652,20.5,0.0116599846529335,59.5,0.0161760907028877,20.5,0.0162222155441925
,59,0.0777357384888855,21,0.177008473036824,59,0.242585124265164,21,0.193633060816906,59,0.125296709228827,21,0.214609951050285,59,0.291538106196524,21,0.232018384059616,59,0.0908671505112158,21,0.186638060573694,59,0.255652811948834,21,0.204052694265688,59,0.110502037244591,21,0.205528721622605,59,0.275748673309188,21,0.223140021853529,59,-0.121870415756848,21,0.00643469250174059,59,0.0195550040585959,21,0.0195929722109608,59,-0.107672365122112,21,0.020252712501246,59,0.0337928997258487,21,0.0334659810584357,59,-0.127774193812416,21,-6.9923641136991E-05,59,0.0135919470790365,21,0.0133708278658963,59,-0.125249189012877,21,0.00279764853032808,59,0.0161845365459696,21,0.0162243202476824
,58.5,0.0823918707071138,21.5,0.167316819258419,58.5,0.24255776413003,21.5,0.193712831305024,58.5,0.129927694650946,21.5,0.204918722957811,58.5,0.291504358615618,21.5,0.232093568972268,58.5,0.0957894318600423,21.5,0.175948550690807,58.5,0.255517382340464,21.5,0.204222813478229,58.5,0.115625809750652,21.5,0.194870235029405,58.5,0.275738070637782,21.5,0.223307676262823,58.5,-0.119683087911034,21.5,-0.0023330715218608,58.5,0.0195721736271252,21.5,0.0195832205488397,58.5,-0.105495615043834,21.5,0.0114923943455158,58.5,0.0338042967005604,21.5,0.0334694516975768,58.5,-0.125400674649061,21.5,-0.0097855748867843,58.5,0.013625975224218,21.5,0.0133802440545662,58.5,-0.122860173099817,21.5,-0.00692675564046627,58.5,0.016207568384983,21.5,0.0162304863536475
