CSV Report,2023-08-16_RNA_melting_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),,2023-08-16 09:33:44 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.2940437974208,21,0.286350697139821,90,0.367634201686371,21,0.414880081984313,90,0.28156689800581,21,0.251982404504682,90,0.334447375576329,21,0.307092051214457,90,0.300359174779817,21,0.262149477842646,90,0.3366207953998,21,0.29084091142536,90,0.324783519283396,21,0.296708511233975,90,0.366893977510164,21,0.325475857141321,90,0.0535891396250718,21,0.0302592140091337,90,0.0301647154988559,21,0.07534745877029,90,0.0314086015956869,21,0.00885955898540218,90,0.00903948990158922,21,0.01387755896575,90,0.0120807355095127,21,0.0124589550880856,90,0.0122740857730036,21,0.0124843026480854,90,0.0500245280083472,21,0.0282613052903156,90,0.0282999482110028,21,0.0281989579566543
,89,0.305093970710642,22,0.28651240619765,89,0.370860414807524,22,0.415062637500484,89,0.289206417417573,22,0.25218075735653,89,0.337770046816014,22,0.307813248860923,89,0.301895825077844,22,0.262020714692409,89,0.338679393906114,22,0.290747456331642,89,0.331084664938535,22,0.296833287805902,89,0.369668891652965,22,0.325439025277427,89,0.043929709216038,22,0.0302795190605325,89,0.0301480293651211,22,0.075542538351788,89,0.0246572049067775,22,0.00888899651699402,89,0.0090231263282594,22,0.0138914155458409,89,0.012115726736679,22,0.0124618041970276,89,0.0122749290310503,22,0.0124912744723286,89,0.0436201589172429,22,0.0282629046777625,89,0.0282945716767726,22,0.0282399685220803
,88,0.306555666097138,23,0.286765025205094,88,0.372664676009303,23,0.414637860343533,88,0.290456194688353,23,0.252589837344543,88,0.339710379223387,23,0.3085740973019,88,0.303160753051412,23,0.262144295568264,88,0.339942133791182,23,0.290951494150116,88,0.332657568962362,23,0.297155989302587,88,0.370089517413158,23,0.325699535337786,88,0.0380392380811666,23,0.0302790165558441,88,0.0301775852118665,23,0.0748732918230108,88,0.0202132674106611,23,0.0089060272642634,88,0.00902470569859284,23,0.0137701440087268,88,0.0121305906141037,23,0.0124776514797345,88,0.0123096224119386,23,0.0124990312261876,88,0.0391035278189129,23,0.0282581546132508,88,0.0282838646250922,23,0.0282538549120143
,87,0.30828105579189,24,0.287318330766292,87,0.374512301300393,24,0.413774480490221,87,0.291469089923199,24,0.253191752130958,87,0.340776907624452,24,0.30975937626673,87,0.304155010427606,24,0.262819713378602,87,0.340446231030844,24,0.291408991383293,87,0.334293415277188,24,0.298104350049279,87,0.370967427097849,24,0.326195519390125,87,0.0347909572478022,24,0.0302723092521321,87,0.0301934057257988,24,0.0734179988117095,87,0.0171925485020433,24,0.00893298058672561,87,0.00903551040033259,24,0.0134598103082488,87,0.0121499143192862,24,0.0124744031009868,87,0.0123120092989588,24,0.0124877855572747,87,0.0361036826114996,24,0.0282607998720926,87,0.0283060503165096,24,0.0282277420001004
