CSV Report,2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),,2023-08-21 09:45:26 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.328286566269454,21,0.276779154111012,90,0.347472018751198,21,0.293041627739555,90,0.315447084366442,21,0.25959138950948,90,0.333207981138309,21,0.273287532281819,90,0.330876083784743,21,0.270340205288485,90,0.344326402400253,21,0.273146058893062,90,0.367798525507271,21,0.308200863852205,90,0.384912821100047,21,0.318986049569232,90,0.0224575196502891,21,0.0233974542905751,90,0.0224928367805828,21,0.0231561377484332,90,0.00496935658167807,21,0.00478363211350586,90,0.00500439774034041,21,0.00479066379210974,90,0.00339385299191488,21,0.00351497930470378,90,0.00367683355586149,21,0.00349766146594422,90,0.0255976219149594,21,0.0258077810961336,90,0.0256427208900199,21,0.0256689243262069
,89,0.329693566786437,22,0.276710406993001,89,0.347869345720605,22,0.293024189970749,89,0.317171803730014,22,0.25972075979719,89,0.333631390894484,22,0.273348747552272,89,0.331611998848639,22,0.270409357083262,89,0.343709350008,22,0.27309419284658,89,0.368467491059452,22,0.308319516971484,89,0.385305589085455,22,0.319057578597815,89,0.0225503078077654,22,0.0234262364039695,89,0.0224922727586108,22,0.0231582617207908,89,0.00499769104907642,22,0.00481469139205143,89,0.00498925438693126,22,0.00478327829431167,89,0.00346697824984614,22,0.00352384915752791,89,0.00367061134443783,22,0.00347535438767411,89,0.0256466055841819,22,0.0258113353038704,89,0.0256069141210589,22,0.025659960574986
,88,0.330116975948007,23,0.276816493951971,88,0.347729488277338,23,0.293263010538855,88,0.318088963191444,23,0.259950638857779,88,0.333552787852254,23,0.273647839375501,88,0.331682485764117,23,0.270577182783102,88,0.343245719122317,23,0.273247943410316,88,0.369133211917762,23,0.308629680905941,88,0.385329526633765,23,0.319361854292057,88,0.0225550498219148,23,0.0234417298354851,88,0.0225311972095384,23,0.0231429089076857,88,0.00500929146370787,23,0.00485368526795243,88,0.00498034256057327,23,0.00479755049158013,88,0.00348000075517613,23,0.00351849008738164,88,0.00369235085899364,23,0.00345770343655405,88,0.0256391731092615,23,0.0258178834411778,88,0.0256182451923905,23,0.02565390112365
,87,0.330013103529602,24,0.277214658213293,87,0.347475731738894,24,0.293774567003931,87,0.317920901784884,24,0.260392271926695,87,0.333266336528209,24,0.27419304883858,87,0.331657552249153,24,0.270921222454608,87,0.341952317352519,24,0.273608196225036,87,0.369849536269054,24,0.309197548088939,87,0.385543549559476,24,0.319902447645646,87,0.0225297300587213,24,0.0234248358036463,87,0.0225538762622339,24,0.0231262363764655,87,0.00497465523195086,24,0.00484074265577918,87,0.00500000255226182,24,0.00479232722894348,87,0.00351750089360992,24,0.00349831676413738,87,0.00369343311250142,24,0.00344433025257204,87,0.0256563815879713,24,0.025806708395367,87,0.025639043860318,24,0.0256472808837552
