CSV Report,2023-08-23_RNA_melting_2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),,2023-08-23 15:18:58 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,89.9000015258789,0.267327041423725,21,0.239270825065114,90,0.298353449475011,21,0.261130036744301,90,0.260806926452297,21,0.235921695240976,90,0.296593224184717,21,0.255595091678428,90,0.28127373031583,21,0.237753851419483,90,0.299401064610987,21,0.249241878321522,90,0.316647582135468,21,0.269251172353039,90,0.334865224553589,21,0.286320917870857,89.9000015258789,0.0710560879500198,21,0.0271832474377261,90,0.0238959950008036,21,0.0230430059210136,90,0.0502790186727659,21,0.00675623869176879,90,0.00530306238812497,21,0.00548704690774461,90,0.00437508446060514,21,0.00397462535887455,90,0.00434410166280033,21,0.00389812174163197,90,0.0243273201761399,21,0.0236509650688435,90,0.0243932749429835,21,0.0236746431643996
,89,0.268144113009165,22,0.239131963194017,89,0.299205794324308,22,0.261145264121616,89,0.265819420672034,22,0.236028964175211,89,0.297425154982561,22,0.255705383645801,89,0.28263561912124,22,0.237829027193355,89,0.300071933791545,22,0.248870667874151,89,0.318042043383256,22,0.269273519815782,89,0.335648389505638,22,0.286399087395368,89,0.0631039283747058,22,0.0271122035952981,89,0.0238966829021542,22,0.0230468836529978,89,0.0385624755543197,22,0.00674867005487869,89,0.00529116338997076,22,0.00545490138006366,89,0.0044044908499395,22,0.00395532214245933,89,0.00433764151008422,22,0.00389437910278853,89,0.0244331267199231,22,0.0236375347910198,89,0.0244329643117488,22,0.0236924585550428
,88,0.269351397592182,23,0.239349843927298,88,0.299589212862362,23,0.261449375342919,88,0.268823672401739,23,0.236301086968949,88,0.297898577709014,23,0.256036817640369,88,0.282906424407327,23,0.237902518204656,88,0.300458082743871,23,0.248799491085187,88,0.31829959650889,23,0.269412462638492,88,0.335908858929512,23,0.286719848617724,88,0.0573727588258174,23,0.0271481628005337,88,0.023843027834245,23,0.0230237931670017,88,0.0323951249052608,23,0.00676817907191635,88,0.00526965831482709,23,0.00545944628868382,88,0.00439093788595258,23,0.00395932750978619,88,0.00432033896389131,23,0.00387174922781085,88,0.0243947376677632,23,0.023656115167918,88,0.0243968960015381,23,0.0236805582865564
,87,0.270630236404489,24,0.239981564386012,87,0.299874723518108,24,0.262103284035386,87,0.269572957544124,24,0.236890949866375,87,0.29821665146439,24,0.256673255143241,87,0.28375890159977,24,0.238130278843546,87,0.300558846698548,24,0.248979570928947,87,0.31857762574187,24,0.269765827705434,87,0.335934588452959,24,0.28723654997289,87,0.0526856332335756,24,0.0272046696209998,87,0.023819290602424,24,0.0230389330408326,87,0.0277120677066937,24,0.00680301916219592,87,0.00527751094517156,24,0.00546074034200511,87,0.00439216649241192,24,0.00394197488388506,87,0.00428471302087103,24,0.00385162271664076,87,0.0244074475655548,24,0.0236560425383781,87,0.0243802462605921,24,0.0236654592778146
,86,0.271462290777837,25,0.240647375809176,86,0.299763763239757,25,0.262886610402344,86,0.271216826873132,25,0.237532271058571,86,0.298183666879865,25,0.257540727389662,86,0.283801136613343,25,0.238642664373306,86,0.300297093689885,25,0.249693015375013,86,0.318589825029167,25,0.270323646185601,86,0.335823992255814,25,0.287716256980415,86,0.0490081886671436,25,0.027147822896653,86,0.0238060132103683,25,0.0231098711386959,86,0.0242428087407142,25,0.00682094533390256,86,0.00530551178365346,25,0.00550260638835505,86,0.00440242551526477,25,0.0039096863226569,86,0.00429429082263147,25,0.00390012775433034,86,0.0244228713961667,25,0.0236200385738318,86,0.0243717734645542,25,0.0236885443729705
,85,0.272640074903354,26,0.241330237905596,85,0.299566690798532,26,0.263504647796049,85,0.272833494118012,26,0.237913724319176,85,0.298040995725962,26,0.258261864773205,85,0.283764944871117,26,0.239098874970622,85,0.299806206526208,26,0.250463999707719,85,0.318140702800648,26,0.270691063316535,85,0.335474890280202,26,0.288183172511735,85,0.0459802395080742,26,0.0272129639945197,85,0.0237918878929832,26,0.023109604717899,85,0.0216826549136008,26,0.00680293005043341,85,0.00530149205312575,26,0.00551950437438212,85,0.00439942061075561,26,0.0038968186106459,85,0.0042845437609878,26,0.00388895112386202,85,0.024398160741406,26,0.0236256683349105,85,0.0243622912673935,26,0.0236868595073752
,84,0.272807292665395,27,0.241779036518931,84,0.299384836006199,27,0.264131484559401,84,0.273310210345811,27,0.23829040796732,84,0.297814311874856,27,0.258901913027395,84,0.283426497839117,27,0.239584784048119,84,0.299137451718035,27,0.251309060104299,84,0.317685648684633,27,0.271005929540372,84,0.334892886363382,27,0.288775605922278,84,0.0434916938316067,27,0.0272341374362683,84,0.0237901053897751,27,0.0230852543990213,84,0.0197284340988341,27,0.00682328243787446,84,0.00526810065101579,27,0.00552187602175814,84,0.00442134336756745,27,0.00389228342022332,84,0.00427685394049025,27,0.00385843576988343,84,0.0243800276661924,27,0.0236283099722373,84,0.0243716530063909,27,0.0236990813778407
