CSV Report,2023-08-23_RNA_melting_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),,2023-08-23 09:48:14 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.278780523591595,21,0.306618861435202,90,0.361788743135183,21,0.349599380591431,90,0.26370381032531,21,0.254946932312807,90,0.314353235950572,21,0.281620156461916,90,0.304185966225015,21,0.275337398061791,90,0.332919369114989,21,0.309131810692463,90,0.31804750784904,21,0.291269353699621,90,0.359854414553795,21,0.316904505992643,90,0.0783213558275493,21,0.0245051445265203,90,0.0245334347322613,21,0.0243266056712106,90,0.0584312655261652,21,0.00975178614596326,90,0.00481295978185703,21,0.00526028104510716,90,0.0269924165131932,21,0.0061883150753866,90,0.00661931926457212,21,0.00639536527544365,90,0.0467162276532324,21,0.0266378334260564,90,0.0268130813259879,21,0.0269657558939715
,89,0.301374996762668,22,0.30679171261122,89,0.362886764049253,22,0.349633952405141,89,0.268771377020229,22,0.254734512320006,89,0.315258133934784,22,0.281674001505897,89,0.306350836166844,22,0.275496718705081,89,0.333440892504091,22,0.309186334182399,89,0.330139137761298,22,0.291309389831752,89,0.360782546744923,22,0.316897288293346,89,0.0584867143944856,22,0.0244711912730993,89,0.0245494492806475,22,0.024263597717443,89,0.0500126469776315,22,0.00973651494895663,89,0.0047972670065781,22,0.00527992364677457,89,0.0177399426638447,22,0.00619614638838616,89,0.00663507813746637,22,0.0063163099529056,89,0.0384373380862206,22,0.0266603880798687,89,0.0268010076451153,22,0.0269427241273135
,88,0.314682071915293,23,0.307070144104583,88,0.363542910937188,23,0.34980468200259,88,0.273405658158591,23,0.255148369729047,88,0.315649260338026,23,0.281992365556576,88,0.307152318884806,23,0.275733593720256,88,0.333819539517252,23,0.309421748356102,88,0.333645770959579,23,0.291485241589701,88,0.361153700932031,23,0.317145978488892,88,0.0465003317147259,23,0.0244524488878003,88,0.0245249305906709,23,0.0242641682438643,88,0.0428278897134955,23,0.00976806418835065,88,0.00478655467882064,23,0.00531491976981765,88,0.0121806319667869,23,0.00619886800868166,88,0.00663211017992303,23,0.0063171538543059,88,0.0330709950707223,23,0.0266642757702679,88,0.0268023773818316,23,0.0269293935018668
,87,0.323049836194577,24,0.307637271448281,87,0.364086450841355,24,0.350159815880375,87,0.276531607314044,24,0.255921967597309,87,0.31579154303102,24,0.282720155028012,87,0.308230600430713,24,0.276189380879185,87,0.33398749911253,24,0.309917144066473,87,0.334421287240566,24,0.291987089205673,87,0.361415204753938,24,0.317715822194446,87,0.0389052535130329,24,0.0244709629680862,87,0.024506281673647,24,0.0242722878924566,87,0.0370651941704416,24,0.00981010252349075,87,0.00478363810549079,24,0.00532032028859847,87,0.00929838048997377,24,0.00619536000302333,87,0.00658022705559846,24,0.00632170081643319,87,0.0299307893659954,24,0.0267039945106078,87,0.0267779102102669,24,0.0268784332909095
