CSV Report,2023-09-21_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
Collection Time,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),,2023-09-21 16:35:00 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.318907680154338,21,0.175787705640409,90,0.330755626674442,21,0.177905038309304,90,0.818669262921548,21,0.408778224057829,90,0.859962906871977,21,0.422226124323371,90,0.836972221699539,21,0.420627274334715,90,0.882032764976681,21,0.434031560181155,90,0.739960177650612,21,0.390031047067464,90,0.782315603754124,21,0.405221620244125,90,0.023920987996293,21,0.0238204377112099,90,0.023958445683448,21,0.0238228974218398,90,0.010994143782106,21,0.0107763140895162,90,0.0106955231613596,21,0.0108279894830159,90,0.0048793517353086,21,0.00442429292111911,90,0.00467203472171145,21,0.00442504752787836,90,0.026033478075537,21,0.0258199299036511,90,0.02579468342888,21,0.0257041398988956
,89,0.321825974331054,22,0.175932175257898,89,0.330131898373253,22,0.178110626809618,89,0.824502501461324,22,0.409507047215627,89,0.859559178497852,22,0.422894218677557,89,0.842600690251451,22,0.421127445651119,89,0.881266309102516,22,0.434732364501687,89,0.743742607514628,22,0.390378396868562,89,0.781061399435936,22,0.405874936261355,89,0.023988262963432,22,0.0238361256415876,89,0.0239387581683441,22,0.0238227455248197,89,0.0108225035852862,22,0.0108352364933442,89,0.0106606293999549,22,0.0108207353374106,89,0.00484908344753246,22,0.00446987066347745,89,0.00466477547776504,22,0.00442685896493672,89,0.0260635864265422,22,0.0258003611381657,89,0.025788188738146,22,0.0257275464056835
,88,0.32135701028989,23,0.176439144535667,88,0.327955632001265,23,0.178653129555294,88,0.823274069834142,23,0.411020437059356,88,0.854880231393342,23,0.424530194801528,88,0.84081094767954,23,0.42271183335274,88,0.877803643370909,23,0.436381169488651,88,0.741322183110887,23,0.39179689505132,88,0.77744486850156,23,0.407375255336445,88,0.0239667348056811,23,0.0238552593610241,88,0.0239445282056712,23,0.023832221711498,88,0.0107854340466683,23,0.0108346349655829,88,0.0106698438341097,23,0.0108218786537874,88,0.00482353466120861,23,0.00448815177246318,88,0.00470218928997498,23,0.00440236112848889,88,0.0260271610944638,23,0.025776646822484,88,0.0258182849006104,23,0.025724982289705
,87,0.319212700438358,24,0.177543546433078,87,0.325277099175788,24,0.1796604559509,87,0.819960340450322,24,0.413930264022585,87,0.848264398074751,24,0.42774038362842,87,0.837585032056406,24,0.42594274337432,87,0.872173442489947,24,0.439664567817592,87,0.73602750403563,24,0.394253704083848,87,0.773953268255222,24,0.410125453146197,87,0.0239199243471372,24,0.0238046758459577,87,0.0239611613458521,24,0.0238417491533054,87,0.0108081000766181,24,0.0108229843217433,87,0.0106909936206773,24,0.0108548025509109,87,0.00481804250694525,24,0.00444781540751189,87,0.00468636120716525,24,0.00440246225305037,87,0.0259269759516971,24,0.0257310634160782,87,0.0258348551484876,24,0.0257554243274665
