CSV Report,2023-11-01_RNA_melting_HEPES_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),,2023-11-01 11:14:39 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.546692207836978,21,0.341415979944081,90,0.321790717345074,21,0.343615413911201,90,0.370742936447974,21,0.306806653624698,90,0.139541154930615,21,0.319539210951016,90,0.334034627268823,21,0.309177611475469,90,0.106333802873759,21,0.321079575770899,90,0.333957734954923,21,0.307160010531881,90,0.0971821888134769,21,0.311355634051279,90,0.0252782653461081,21,0.0256326932873137,90,-0.204887815408441,21,0.0247582226325017,90,0.00977728427081646,21,0.0100138338852371,90,-0.220900555895669,21,0.00924239147633885,90,0.00495482718040221,21,0.00495516996874434,90,-0.225636813339043,21,0.00426027048620151,90,0.0268409353463565,21,0.0267847623096465,90,-0.201898261286433,21,0.0260200626923248
,89,0.552745678800693,22,0.341920361411324,89,0.336413394776272,22,0.34396711311897,89,0.372564889678159,22,0.307128675186791,89,0.159935773919358,22,0.31979822972309,89,0.335689516830762,22,0.309377803283246,89,0.125973081134676,22,0.321249108661705,89,0.335889055666031,22,0.307333261600946,89,0.117328488885769,22,0.311482322449236,89,0.0252098535045749,22,0.0256496478083164,89,-0.187008456323939,22,0.0247786711404835,89,0.00968579168778117,22,0.0100432970648898,89,-0.201081918104213,22,0.00925666680555869,89,0.00497433850449062,22,0.00495909220305423,89,-0.205763632477868,22,0.00428896279578767,89,0.0268144906829353,22,0.0268140920994633,89,-0.181763367947971,22,0.0260199285685262
,88,0.554500598185117,23,0.34317509551264,88,0.391491929448131,23,0.345108403988385,88,0.375092117873422,23,0.307896559749124,88,0.223794991254645,23,0.320546403046902,88,0.337316999435486,23,0.309825811591762,88,0.18990137651082,23,0.321662396315723,88,0.33674404399791,23,0.30772306210004,88,0.187533881934761,23,0.311974674062699,88,0.0252096942948751,23,0.0256644368417876,88,-0.127254436273304,23,0.0247853369134523,88,0.00964506205728297,23,0.0100478981468321,88,-0.136368277881996,23,0.00925785546063506,88,0.00498810449338894,23,0.00496531088431823,88,-0.141049998052497,23,0.00428555547088758,88,0.0268206828125084,23,0.0268242501094975,88,-0.111104717778237,23,0.0260163352095361
,87,0.554591405849745,24,0.345598849674331,87,0.498356424521813,24,0.34721936387323,87,0.376385623978716,24,0.30937260242807,87,0.336948243142626,24,0.321896130058279,87,0.340118107220767,24,0.310647403698214,87,0.30351492834814,24,0.322319976353504,87,0.338233878490104,24,0.308328515759346,87,0.301437965651673,24,0.3127839999366,87,0.0252132065367271,24,0.0256131615301562,87,-0.0260631248612335,24,0.0247330564869465,87,0.0096337645459095,24,0.0100444785331292,87,-0.0349973747425237,24,0.00925029794751833,87,0.00500791621188434,24,0.0049382847810815,87,-0.0396743017008618,24,0.00424640364117807,87,0.0268506508104117,24,0.0267887202377609,87,-0.0115267319814888,24,0.0259960182932459
