CSV Report,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM EDTA_260.00nm_90.0-21.0C,,10 mM EDTA_260.00nm_21.0-90.0C,,10 mM EDTA_260.00nm_90.0-21.0C_R1,,10 mM EDTA_260.00nm_21.0-90.0C_R1,,5 mM EDTA_260.00nm_90.0-21.0C,,5 mM EDTA_260.00nm_21.0-90.0C,,5 mM EDTA_260.00nm_90.0-21.0C_R1,,5 mM EDTA_260.00nm_21.0-90.0C_R1,,1 mM EDTA_260.00nm_90.0-21.0C,,1 mM EDTA_260.00nm_21.0-90.0C,,1 mM EDTA_260.00nm_90.0-21.0C_R1,,1 mM EDTA_260.00nm_21.0-90.0C_R1,,0 mM EDTA_260.00nm_90.0-21.0C,,0 mM EDTA_260.00nm_21.0-90.0C,,0 mM EDTA_260.00nm_90.0-21.0C_R1,,0 mM EDTA_260.00nm_21.0-90.0C_R1,,10 mM EDTA_400.00nm_90.0-21.0C,,10 mM EDTA_400.00nm_21.0-90.0C,,10 mM EDTA_400.00nm_90.0-21.0C_R1,,10 mM EDTA_400.00nm_21.0-90.0C_R1,,5 mM EDTA_400.00nm_90.0-21.0C,,5 mM EDTA_400.00nm_21.0-90.0C,,5 mM EDTA_400.00nm_90.0-21.0C_R1,,5 mM EDTA_400.00nm_21.0-90.0C_R1,,1 mM EDTA_400.00nm_90.0-21.0C,,1 mM EDTA_400.00nm_21.0-90.0C,,1 mM EDTA_400.00nm_90.0-21.0C_R1,,1 mM EDTA_400.00nm_21.0-90.0C_R1,,0 mM EDTA_400.00nm_90.0-21.0C,,0 mM EDTA_400.00nm_21.0-90.0C,,0 mM EDTA_400.00nm_90.0-21.0C_R1,,0 mM EDTA_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:00 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),,2023-11-08 11:56:01 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.365803472462477,21,0.292848201252252,90,0.385365897595398,21,0.30345480116362,90,0.338288560617335,21,0.278339366816072,90,0.351259735370222,21,0.278052767377416,90,0.389251977320005,21,0.33337225786857,90,0.405354457508587,21,0.345797100749343,90,0.421971634692282,21,0.367469427586151,90,0.438850414392818,21,0.376716465744387,90,0.0258530276328842,21,0.0255125886910463,90,0.0256227728240258,21,0.0252107522328111,90,0.00641919161050007,21,0.00657155279806697,90,0.0062482196236173,21,0.00650410017340268,90,0.0106677608356382,21,0.0107240880853058,90,0.0104568810617862,21,0.0104660365726635,90,0.0279420224419872,21,0.0278683078320617,90,0.0277625813221081,21,0.0276609774199986
,89,0.367355447848004,22,0.293106969026473,89,0.385275820657914,22,0.30404197818223,89,0.339554136957191,22,0.278586456642298,89,0.345818040405157,22,0.278203034160121,89,0.389718769086671,22,0.33363963805244,89,0.405756255050948,22,0.346001433968596,89,0.422385521263463,22,0.367744340213462,89,0.439339203365634,22,0.376985727682527,89,0.0258270238853419,22,0.0255428485103648,89,0.0256067757725084,22,0.0251891409428721,89,0.00637121978258629,22,0.00657915259012876,89,0.00623736504991794,22,0.00644916160543608,89,0.0106057516699095,22,0.0107140533398419,89,0.0104889450652207,22,0.0104401973466733,89,0.0278871294421937,22,0.0278905414308108,89,0.0277838507862571,22,0.0276272003927645
,88,0.368808076729496,23,0.293842581101296,88,0.384836566433828,23,0.305399521411708,88,0.33990593196365,23,0.279250589500738,88,0.343107510261082,23,0.278781123252305,88,0.389792627841067,23,0.33435304777386,88,0.406131538221725,23,0.346648366530028,88,0.422416041019113,23,0.368442901965022,88,0.439425480404458,23,0.377562785656556,88,0.0258528770648586,23,0.0255312238178743,88,0.0256238022392343,23,0.0251681250902381,88,0.00633972197950128,23,0.00658265825828537,88,0.0062248948081245,23,0.00646884642268906,88,0.0106302125041194,23,0.010711006743478,88,0.0104963721949388,23,0.0104157752321212,88,0.0278652072474975,23,0.027891341650491,88,0.0277589047586814,23,0.027614592186402
,87,0.369825252679713,24,0.295181632705718,87,0.384226574203139,24,0.306349688539051,87,0.339753344148958,24,0.280385096570479,87,0.3406990859424,24,0.279818857141323,87,0.389927715197681,24,0.335621739212609,87,0.406174984465914,24,0.347841830145863,87,0.42277008558919,24,0.369666061179564,87,0.439365749910675,24,0.37874687107809,87,0.0258259109593745,24,0.02554697607224,87,0.0256116115888821,24,0.0251704159940358,87,0.00628221608053747,24,0.00660897484027028,87,0.00623246064254693,24,0.00645596615855783,87,0.0106146291896416,24,0.010727310325792,87,0.0104675600785584,24,0.0104143736847931,87,0.0278551652387101,24,0.0278920293983733,87,0.0277504123151191,24,0.0276345034686723
