CSV Report,2023-11-09_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),,2023-11-09 15:38:08 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.291221225314831,21,0.243290782446584,90,0.296908740177493,21,0.250529703792629,90,0.287306345482528,21,0.232968782851382,90,0.297090424406603,21,0.244408196785508,90,0.313878427033707,21,0.257409598382407,90,0.321168788189946,21,0.265274939730327,90,0.343009497070242,21,0.288411637662478,90,0.354555483197442,21,0.297574194465751,90,0.0259168922248035,21,0.0250541175191821,90,0.0244546054763633,21,0.0250181575961445,90,0.00707889910018864,21,0.00590688735629552,90,0.00587611543966338,21,0.00588971770231283,90,0.00742569819273876,21,0.00653779171006155,90,0.00610265124940992,21,0.00625079024623896,90,0.0260294324188178,21,0.0254005441629069,90,0.0249981864721697,21,0.0253300399862847
,89,0.29042409254307,22,0.243324640049267,89,0.297288856987927,22,0.250632977805314,89,0.286493621579638,22,0.232924470949923,89,0.297646097039223,22,0.244451298280234,89,0.3131544436078,22,0.257407094715745,89,0.322013999724877,22,0.265389256536084,89,0.342385311136442,22,0.288494492409953,89,0.354709642540629,22,0.297680828655046,89,0.0247811354038051,22,0.0250580979022081,89,0.0244829384074932,22,0.0249915030879238,89,0.00618623044086023,22,0.00591445467645758,89,0.00589671603348922,22,0.0058564803032975,89,0.00653104737439817,22,0.00652668500700443,89,0.00616270222233701,22,0.0062560066764549,89,0.0254563526697896,22,0.0254072094127961,89,0.0250162931667391,22,0.0253277670525955
,88,0.290336694547359,23,0.243421356527314,88,0.297133666961071,23,0.25074737685235,88,0.28601682498781,23,0.233094088532688,88,0.2977488934455,23,0.244633186942733,88,0.313050449349452,23,0.257559454651108,88,0.322308653904601,23,0.265599608622294,88,0.342365844416578,23,0.288736699558796,88,0.354724307977645,23,0.297927781364693,88,0.0246542879415036,23,0.0250362276008867,88,0.0245059283816068,23,0.024962542116539,88,0.00605232843993149,23,0.0058984624851736,88,0.00590377407003707,23,0.00585359137492161,88,0.00639742112399411,23,0.00652954557889399,88,0.00610978603616117,23,0.00625407684917524,88,0.0253005192546628,23,0.0253912364163991,88,0.0250282101347989,23,0.0253229683664946
,87,0.28991493371744,24,0.243741699586923,87,0.296702944427446,24,0.251119519002449,87,0.285445244717504,24,0.233390965698516,87,0.297605944534973,24,0.245092996261263,87,0.313589239856784,24,0.257932063781723,87,0.322344981253809,24,0.265955812655294,87,0.342406956550158,24,0.28925893885432,87,0.354739807310582,24,0.298469073841842,87,0.0245995671158269,24,0.0250239660806683,87,0.0244942345439192,24,0.024949983889028,87,0.00597213936560515,24,0.00586260232303428,87,0.00591824267800111,24,0.00583361697049001,87,0.00634945792824461,24,0.00646950576989568,87,0.00610873942613684,24,0.00621740638200996,87,0.0252554714194087,24,0.0253729539975692,87,0.025019958422981,24,0.0253312551707579
