CSV Report,2023-11-10_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),,2023-11-10 10:03:49 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.354726527117871,21,0.29810154047016,90,0.388048681726043,21,0.335335827648437,90,0.326637588527784,21,0.248674992919113,90,0.347331384832576,21,0.268050762254488,90,0.328674816772569,21,0.24970597655848,90,0.349857374457074,21,0.267258556571544,90,0.387595841989164,21,0.301905448409096,90,0.402247242615509,21,0.31540627585559,90,0.0521139633847037,21,0.0290019784999533,90,0.0290970619894471,21,0.0286974933292271,90,0.0172771446417235,21,0.00785843675301432,90,0.00717712424653535,21,0.00745707182081391,90,0.00635084972424005,21,0.00624820273330668,90,0.00622887658224034,21,0.00622980394462547,90,0.0421816041797234,21,0.0417939245182512,90,0.0417216157696757,21,0.0418493714734691
,89,0.356739594058645,22,0.298268103866831,89,0.388988274028404,22,0.3355282548415,89,0.32586880549901,22,0.248767084092359,89,0.347487000220481,22,0.268139877237413,89,0.330255248656779,22,0.249727745196536,89,0.350052497099568,22,0.267263724427472,89,0.388476035438476,22,0.301963900881475,89,0.402416880281477,22,0.31550139489048,89,0.0402076240204847,22,0.0290332759116109,89,0.0289867870062387,22,0.0287211948930166,89,0.0112518830842824,22,0.00785112089204163,89,0.00717875400145826,22,0.00746902370712712,89,0.00630831485932646,22,0.00625581928535255,89,0.0062423158349797,22,0.00623217782522923,89,0.0419763818032212,22,0.0418044992616694,89,0.0416854079430444,22,0.0418601342513036
,88,0.356688315251253,23,0.298522791332078,88,0.388777928087284,23,0.335905524015741,88,0.324880157648716,23,0.248964515101203,88,0.346328630418022,23,0.268445261203416,88,0.330313409105394,23,0.249890591183558,88,0.348883917915583,23,0.267534289705894,88,0.387700016674172,23,0.302170271975497,88,0.401567465270585,23,0.315825145878857,88,0.0347627058485921,23,0.0290289114740104,88,0.0289796918427903,23,0.0286868730587316,88,0.00860788809091583,23,0.00785183351250017,88,0.00717910262906521,23,0.00747590090565303,88,0.00623368206079497,23,0.00624981954076149,88,0.00623658042554877,23,0.00621551016415262,88,0.0418642193291081,23,0.041784091511349,88,0.0417026496334321,23,0.0418394339937401
,87,0.355328429012176,24,0.29920429554217,87,0.387553597037262,24,0.336417855503012,87,0.323686088471228,24,0.249396102302019,87,0.345096548640945,24,0.269004322619291,87,0.329049294676126,24,0.250341636217664,87,0.347458310126518,24,0.268023966972517,87,0.386036585229869,24,0.302628355884468,87,0.39990110067046,24,0.316394119032599,87,0.0317926742314709,24,0.0290584313933165,87,0.0289178862659708,24,0.0286951128972002,87,0.00761435098323029,24,0.00783357163724881,87,0.00716761860531638,24,0.00746052977251036,87,0.00615577127580286,24,0.00625821293413429,87,0.00621134489078924,24,0.00618454768212191,87,0.0417526080914331,24,0.0417831276555683,87,0.0416858455899622,24,0.0418226178982449
,86,0.355097957759123,25,0.299842638651511,86,0.38647619955203,25,0.33682937971309,86,0.322023623540004,25,0.250085550051976,86,0.343589914006327,25,0.269716831823556,86,0.32754758645737,25,0.251006265167709,86,0.345782913659327,25,0.268891502038336,86,0.384031715847638,25,0.30322006071053,86,0.398312951440047,25,0.317162304531199,86,0.0303225004640512,25,0.0290212742909005,86,0.0288675553426488,25,0.028680603185519,86,0.0072527084794902,25,0.00783192910038435,86,0.00716860957129221,25,0.00748348192116102,86,0.0061293897927223,25,0.00626331824865207,86,0.00622551586297107,25,0.00620889235676723,86,0.0416783007345961,25,0.0417591800472282,86,0.0416893493323356,25,0.0418165424835532
,85,0.354782949883405,26,0.300350911598297,85,0.385319024265592,26,0.337502776787845,85,0.320191743448957,26,0.250764808901366,85,0.342144157009565,26,0.270357817392531,85,0.326028159000091,26,0.251720190271828,85,0.344164986647584,26,0.269847346626848,85,0.382047605550725,26,0.303849178702849,85,0.396186683972455,26,0.317971133629332,85,0.0296329078211238,26,0.0289606982642217,85,0.0288767466684914,26,0.0287078106104753,85,0.0071723627129078,26,0.00783559899879509,85,0.00714750321803245,26,0.00749337089371498,85,0.00611587248124334,26,0.00623819789547335,85,0.00623020411706413,26,0.00620441843890409,85,0.041621100252637,26,0.0417426836197737,85,0.0416743420971014,26,0.0417930507154418
