CSV Report,2023-11-17_RNA_melting_MgCl2_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10_mM_MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),,2023-11-17 09:46:11 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.308678458861189,21,0.258917661658682,90,0.32549738205637,21,0.273555497908553,90,0.296624141555116,21,0.243806917647669,90,0.313641229385613,21,0.257874566282593,90,0.320629083389692,21,0.261643865720318,90,0.333068864751281,21,0.273055837756574,90,0.354983403455525,21,0.296336737608238,90,0.370000848351331,21,0.307628713977757,90,0.0248195950606685,21,0.0245658906526402,90,0.0246684546387068,21,0.0244530831537004,90,0.00631343597362829,21,0.00619400620336855,90,0.00633055979071821,21,0.0061955474678078,90,0.00567214931851078,21,0.00563999567267132,90,0.00579566526259665,21,0.00562830326907338,90,0.0257479768711962,21,0.0257516881123994,90,0.0257402222684808,21,0.0257065144236079
,89,0.310024435585967,22,0.258847041748089,89,0.325899700216977,22,0.273479182255823,89,0.297298661539172,22,0.24377875055691,89,0.313879446015495,22,0.257736495317397,89,0.321790826873074,22,0.261664174910441,89,0.333648535302014,22,0.272946970922612,89,0.355159680399979,22,0.296220683166209,89,0.37016364156653,22,0.307581643042856,89,0.0248159818896547,22,0.0245446433450576,89,0.0246598822999475,22,0.0244234079609099,89,0.006370769698236,22,0.00617865256986299,89,0.00630046403072017,22,0.00617950006310538,89,0.00568023641553828,22,0.00564204519786837,89,0.00581202601376658,22,0.00557033345595596,89,0.0257210318945197,22,0.0257431754625267,89,0.02573308118254,22,0.0256672583024476
,88,0.310321349596478,23,0.25893721329324,88,0.325828902946736,23,0.27372045272974,88,0.297272460981483,23,0.243872646571826,88,0.313779488828429,23,0.257843865590216,88,0.321983787532106,23,0.261785774280396,88,0.333707310045015,23,0.273102193310167,88,0.354988849277558,23,0.296201360257421,88,0.370169984838897,23,0.307765524875041,88,0.024792998740276,23,0.0245344119232055,88,0.0246649455384303,23,0.0244102428108429,88,0.00634439138801233,23,0.00616987640425115,88,0.00629485776982076,23,0.00617504510415078,88,0.00572275269476039,23,0.00563136479887652,88,0.00580245683257291,23,0.00555883663753785,88,0.0257485059594349,23,0.0257398940625879,88,0.0257447991675287,23,0.0256629913474018
,87,0.31014640507282,24,0.259591330008828,87,0.325614777087472,24,0.274349255449978,87,0.2976856946106,24,0.244274352350654,87,0.313443830997368,24,0.258492427599917,87,0.321757395681162,24,0.262209130247995,87,0.333403689475318,24,0.273588367645469,87,0.354746947845803,24,0.296909018686431,87,0.370003751504039,24,0.308373414083008,87,0.0248110076828354,24,0.0245434181327305,87,0.0246588469705397,24,0.0244295568448851,87,0.00628261551292679,24,0.00617416842500953,87,0.00629837214636508,24,0.00617765783149475,87,0.00574143492568319,24,0.00561532502738216,87,0.0057606617138591,24,0.00556862815763956,87,0.0257851031679732,24,0.0257415520977343,87,0.025744528722304,24,0.0256851463087127
