CSV Report,2023-11-20_RNA_melting_MgCl2_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),,2023-11-20 10:05:37 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.301766918062809,21,0.283046517986174,90,0.342469873719192,21,0.327267162192639,90,0.295303436160928,21,0.252454715119928,90,0.31725913892462,21,0.273585500762113,90,0.328843329267464,21,0.283830041785953,90,0.348159388093572,21,0.301557584578175,90,0.340709385730321,21,0.287008449900403,90,0.356455929102578,21,0.302228636294959,90,0.048681893493725,21,0.0242572308443022,90,0.0244023701493389,21,0.0240273775740482,90,0.0315224588838985,21,0.008006004607709,90,0.00801093729119634,21,0.00803239325369264,90,0.0211206677243008,21,0.0225537372616676,90,0.0214288558668438,21,0.0222045863505774,90,0.0261519258265101,21,0.0260192438483146,90,0.0260253128000604,21,0.0259018097248971
,89,0.306702258182692,22,0.283138728865418,89,0.343871337434972,22,0.327319101616511,89,0.295176991765461,22,0.252487351744327,89,0.317613419892218,22,0.273342281144683,89,0.329778241431507,22,0.283837179448924,89,0.348951716528327,22,0.301529857030249,89,0.341553086078286,22,0.287023834539954,89,0.356844905343608,22,0.302267175339524,89,0.0354878570747168,22,0.0242597959579526,89,0.0244187644628642,22,0.0240068073599249,89,0.0230179871866928,22,0.00801589425232218,89,0.0080047750160801,22,0.00804411820593638,89,0.0210464942834511,22,0.0225655971941,89,0.0214166889520098,22,0.0222186426799706,89,0.0261160571414765,22,0.0260334075655919,89,0.0260098962893407,22,0.0258954964871879
,88,0.308044757982592,23,0.283450492890798,88,0.344513126072265,23,0.327576129407934,88,0.295469903192765,23,0.252667202199919,88,0.317529621707367,23,0.273179525157878,88,0.330017570420777,23,0.284017983214147,88,0.349243301679373,23,0.301706967015482,88,0.341704827150114,23,0.287147127202057,88,0.356774141186851,23,0.30250230856612,88,0.029328743764565,23,0.0242628483338034,88,0.0243863939523648,23,0.0240097729418389,88,0.0178370805310402,23,0.00801741264411693,88,0.00802612266546428,23,0.00803794992076808,88,0.0209923772147949,23,0.0225622346224106,88,0.0214117207908797,23,0.0222105685715176,88,0.0260918903180033,23,0.0260500638018813,88,0.0260228847245658,23,0.0259052285667005
,87,0.308935746005078,24,0.283997968144232,87,0.344804801522118,24,0.327966345487791,87,0.295324798505115,24,0.253190771288664,87,0.317494442627317,24,0.273647975427847,87,0.330253603739883,24,0.284465069771807,87,0.349335560977879,24,0.30221032071062,87,0.341163027334826,24,0.287516897682389,87,0.356500093278673,24,0.303066832408734,87,0.0265830056776925,24,0.024281910754239,87,0.024369210269617,24,0.0240005027549255,87,0.0145527954636927,24,0.00800997734961756,87,0.00801838549624899,24,0.00801605156848272,87,0.0209473199270959,24,0.0224920320716238,87,0.0214172372763026,24,0.0221619503635938,87,0.0260605228495179,24,0.0260425074539574,87,0.0260255459013924,24,0.0258903317318151
