CSV Report,2024-01-22_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-01-22 11:55:50 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),,2024-01-22 11:55:51 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.586185759992306,21,0.37458658516347,90,0.620237675380478,21,0.386274801902,90,0.396911683662113,21,0.327368739761466,90,0.414818223927228,21,0.341299655197993,90,0.382553091138644,21,0.353174148000464,90,0.398983110815678,21,0.365694624178777,90,0.35430900893622,21,0.307046391227808,90,0.368396809453388,21,0.318092552038339,90,0.0296011297948227,21,0.0294504636169914,90,0.029396817999958,21,0.0293255071651583,90,0.0113699491958708,21,0.0117077590803264,90,0.0122463151040666,21,0.0119967250287873,90,0.0218419469482004,21,0.0219250213445001,90,0.021742506309292,21,0.0218137932123332,90,0.0283382507628486,21,0.0282519132881451,90,0.0282496306211756,21,0.0281924493936746
,89,0.588505602787989,22,0.374940073232949,89,0.61952402262105,22,0.38659690599006,89,0.397078804755199,22,0.327707494313112,89,0.415092160575229,22,0.342024947147076,89,0.383512213728319,22,0.353340796083178,89,0.3993102724066,22,0.365794503409811,89,0.354894721501646,22,0.307155460838409,89,0.369143751601693,22,0.318251473896328,89,0.0295807264437868,22,0.0294441447538429,89,0.0293935109870979,22,0.0293469752354676,89,0.0113151668234962,22,0.0117269759440137,89,0.0122207446103244,22,0.0119765807687028,89,0.0217928992975379,22,0.0219573060225784,89,0.0217311622519247,22,0.0218574682136545,89,0.0283125524162348,22,0.028279663982654,89,0.0282759697227824,22,0.0281966419869391
,88,0.587745811298551,23,0.376610616634225,88,0.61674375744989,23,0.387944878079396,88,0.397480284958961,23,0.328804287734646,88,0.414777078511586,23,0.343340107218298,88,0.385270715218013,23,0.353880374292996,88,0.40219860709917,23,0.366237588922173,88,0.355315378950641,23,0.307695357201115,88,0.369651264699135,23,0.318650072750966,88,0.0295783153947621,23,0.0294786740752202,88,0.0293816966804929,23,0.0293253504912178,88,0.0112828497189135,23,0.0117548688875236,88,0.0122126902575793,23,0.0119738713733909,88,0.021722658231124,23,0.0219705699157541,88,0.021687011712637,23,0.0218412337476064,88,0.0282761982952926,23,0.0283027071710529,88,0.0282652569453659,23,0.0281966156804329
,87,0.58622545023947,24,0.379231850359082,87,0.613802656237127,24,0.3907286490935,87,0.397481964904112,24,0.330377918789195,87,0.414104738350135,24,0.34457435397126,87,0.386770953755683,24,0.354630269696224,87,0.402698780448542,24,0.367002336053981,87,0.355639014991489,24,0.308282631334811,87,0.369952699438675,24,0.319138084717287,87,0.029536016013155,24,0.0294943592282362,87,0.0293726381857791,24,0.0292753212341774,87,0.0112444012925776,24,0.0118139893965651,87,0.0121985968708374,24,0.0119679729734412,87,0.0216700058562279,24,0.0219476906006866,87,0.0216643324158474,24,0.0218170750837147,87,0.0282815833750605,24,0.0283213304275612,87,0.0282388338945334,24,0.0281784259954339
