CSV Report,2024-01-25_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM KCl_260.00nm_90.0-21.0C,,26 mM KCl_260.00nm_21.0-90.0C,,26 mM KCl_260.00nm_90.0-21.0C_R1,,26 mM KCl_260.00nm_21.0-90.0C_R1,,21 mM KCl_260.00nm_90.0-21.0C,,21 mM KCl_260.00nm_21.0-90.0C,,21 mM KCl_260.00nm_90.0-21.0C_R1,,21 mM KCl_260.00nm_21.0-90.0C_R1,,17 mM KCl_260.00nm_90.0-21.0C,,17 mM KCl_260.00nm_21.0-90.0C,,17 mM KCl_260.00nm_90.0-21.0C_R1,,17 mM KCl_260.00nm_21.0-90.0C_R1,,8.3 mM KCl_260.00nm_90.0-21.0C,,8.3 mM KCl_260.00nm_21.0-90.0C,,8.3 mM KCl_260.00nm_90.0-21.0C_R1,,8.3 mM KCl_260.00nm_21.0-90.0C_R1,,26 mM KCl_400.00nm_90.0-21.0C,,26 mM KCl_400.00nm_21.0-90.0C,,26 mM KCl_400.00nm_90.0-21.0C_R1,,26 mM KCl_400.00nm_21.0-90.0C_R1,,21 mM KCl_400.00nm_90.0-21.0C,,21 mM KCl_400.00nm_21.0-90.0C,,21 mM KCl_400.00nm_90.0-21.0C_R1,,21 mM KCl_400.00nm_21.0-90.0C_R1,,17 mM KCl_400.00nm_90.0-21.0C,,17 mM KCl_400.00nm_21.0-90.0C,,17 mM KCl_400.00nm_90.0-21.0C_R1,,17 mM KCl_400.00nm_21.0-90.0C_R1,,8.3 mM KCl_400.00nm_90.0-21.0C,,8.3 mM KCl_400.00nm_21.0-90.0C,,8.3 mM KCl_400.00nm_90.0-21.0C_R1,,8.3 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.772055305981883,21,0.403588109683206,90,0.811864913078557,21,0.415150074909207,90,0.750401774795043,21,0.380380640500203,90,0.793253400877595,21,0.393480797856932,90,0.75029710570032,21,0.383044730245564,90,0.787261179026375,21,0.397458046820393,90,0.684744120365261,21,0.435582560765761,90,0.722449006549338,21,0.451309725942629,90,0.0296657504454136,21,0.0296023793169272,90,0.0296214277196029,21,0.0295689726670201,90,0.00978689815549236,21,0.00954260759481082,90,0.00940710871013982,21,0.00955678807771317,90,0.00936499295311862,21,0.00910615430251698,90,0.00920424120970855,21,0.00914986656320937,90,0.0327083468564727,21,0.0330134426622301,90,0.0325133826592329,21,0.0328760940819837
,89,0.778087516183513,22,0.40404541132461,89,0.810595087100575,22,0.415522295844958,89,0.755901697089603,22,0.380822301866156,89,0.792108518583757,22,0.393775139645902,89,0.751658171026691,22,0.383793168022111,89,0.787113560700598,22,0.397950240846574,89,0.68816671348279,22,0.436155425078653,89,0.722166887248884,22,0.451701835305484,89,0.0296214817062671,22,0.0295824012016179,89,0.0296202092812707,22,0.0295377810157963,89,0.00977953159239904,22,0.00953264340584488,89,0.00937549043146733,22,0.00953537066100875,89,0.00932923772785508,22,0.00914251434859771,89,0.00925577021666171,22,0.00910350173100825,89,0.03266407818228,22,0.0330148185100196,89,0.0325109381684737,22,0.0328594160746554
,88,0.776981768864819,23,0.405962560180764,88,0.805990074709206,23,0.417242519406272,88,0.759282992975611,23,0.382647118767105,88,0.787460904724723,23,0.395513283183446,88,0.749522650761839,23,0.385744491052624,88,0.783504210201822,23,0.399754211440151,88,0.688863435037023,23,0.437655252239432,88,0.720288878800748,23,0.453119405988735,88,0.0296634757227847,23,0.0295168918901615,88,0.029619941840147,23,0.0295353441651332,88,0.0097355481675543,23,0.0095025274730202,88,0.00939327382212268,23,0.00952597052721187,88,0.00932659260101141,23,0.00912676515699635,88,0.00925882806493519,23,0.00910526842775547,88,0.0326286360890422,23,0.0329894658098189,88,0.032520398431332,23,0.0328549736651356
,87,0.773499904079209,24,0.409414319869367,87,0.800113949646035,24,0.420797897251729,87,0.755394860659102,24,0.386380362749225,87,0.781458746465102,24,0.399198459187121,87,0.746047187458641,24,0.389251424519597,87,0.778096278019026,24,0.40336520299535,87,0.687727474417212,24,0.440518598574438,87,0.717635695285643,24,0.455871128561814,87,0.029593987505321,24,0.0295188693256377,87,0.0296405503438266,24,0.0295459113868256,87,0.00963587810349139,24,0.00949876094427411,87,0.00937106842430732,24,0.00953730892000972,87,0.00931469859868449,24,0.00912704276169453,87,0.00926966130425069,24,0.00911552425240453,87,0.0326291808552416,24,0.0329650585069345,87,0.0325214603115996,24,0.0328825675703136
,86,0.768516520832085,25,0.413075785123396,86,0.793821083100285,25,0.424241894794917,86,0.747301107110717,25,0.390280895383893,86,0.774888541886004,25,0.402960975084799,86,0.740815513339614,25,0.39278635864841,86,0.772036688978829,25,0.406980750345035,86,0.685058845170417,25,0.443438115841561,86,0.713833959835997,25,0.458828101379208,86,0.029561616858401,25,0.0295499545368795,86,0.0296684162276568,25,0.0295277684732655,86,0.00954896540794357,25,0.00949632379532824,86,0.00934702584984935,25,0.00952840877522514,86,0.00924650513564975,25,0.00912124982703649,86,0.0092710922766123,25,0.00909263673304621,86,0.0326385818826759,25,0.0329892537868262,86,0.0325419700451338,25,0.0328631682969514
,85,0.762705529244726,26,0.41647415844009,85,0.786997382238352,26,0.427851723633472,85,0.740700534424661,26,0.393951802327851,85,0.768250928302693,26,0.406743668271583,85,0.734700659345102,26,0.396222981737726,85,0.76519871352891,26,0.410680174608692,85,0.680868442952857,26,0.446101637909229,85,0.7094307704624,26,0.461640782134093,85,0.0295370256727192,26,0.0295409509546458,85,0.0296352186395295,26,0.0295006813611721,85,0.00952487710298975,26,0.00949482884602235,85,0.00935302987174009,26,0.00951899584281014,85,0.00919676521950817,26,0.00912439240458426,85,0.00923792064754725,26,0.00907342568338621,85,0.0326361044182287,26,0.0329779927871723,85,0.0325236960269204,26,0.0328414017455866
,84,0.756172544187967,27,0.419953988847908,84,0.780054029771093,27,0.431486790682156,84,0.733762805172066,27,0.39753798105792,84,0.761193714093931,27,0.410350896560275,84,0.728214596198352,27,0.399840192441686,84,0.758309928487892,27,0.414316137460396,84,0.676543822003774,27,0.448970482300857,84,0.705077775350059,27,0.464677296729659,84,0.029554094998135,27,0.0295422930040733,84,0.0296057394951135,27,0.0295230217068577,84,0.00952795328908227,27,0.00949777048830537,84,0.00937494645778253,27,0.00952350597022281,84,0.00917683282565174,27,0.00911501804330782,84,0.00921062320175808,27,0.00909370098913817,84,0.0326005815327809,27,0.0329732203278197,84,0.0325179209012665,27,0.0328528994273517
