CSV Report,2024-01-26_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM KCl_260.00nm_90.0-21.0C,,516 mM KCl_260.00nm_21.0-90.0C,,516 mM KCl_260.00nm_90.0-21.0C_R1,,516 mM KCl_260.00nm_21.0-90.0C_R1,,116 mM KCl_260.00nm_90.0-21.0C,,116 mM KCl_260.00nm_21.0-90.0C,,116 mM KCl_260.00nm_90.0-21.0C_R1,,116 mM KCl_260.00nm_21.0-90.0C_R1,,66 mM KCl_260.00nm_90.0-21.0C,,66 mM KCl_260.00nm_21.0-90.0C,,66 mM KCl_260.00nm_90.0-21.0C_R1,,66 mM KCl_260.00nm_21.0-90.0C_R1,,31 mM KCl_260.00nm_90.0-21.0C,,31 mM KCl_260.00nm_21.0-90.0C,,31 mM KCl_260.00nm_90.0-21.0C_R1,,31 mM KCl_260.00nm_21.0-90.0C_R1,,516 mM KCl_400.00nm_90.0-21.0C,,516 mM KCl_400.00nm_21.0-90.0C,,516 mM KCl_400.00nm_90.0-21.0C_R1,,516 mM KCl_400.00nm_21.0-90.0C_R1,,116 mM KCl_400.00nm_90.0-21.0C,,116 mM KCl_400.00nm_21.0-90.0C,,116 mM KCl_400.00nm_90.0-21.0C_R1,,116 mM KCl_400.00nm_21.0-90.0C_R1,,66 mM KCl_400.00nm_90.0-21.0C,,66 mM KCl_400.00nm_21.0-90.0C,,66 mM KCl_400.00nm_90.0-21.0C_R1,,66 mM KCl_400.00nm_21.0-90.0C_R1,,31 mM KCl_400.00nm_90.0-21.0C,,31 mM KCl_400.00nm_21.0-90.0C,,31 mM KCl_400.00nm_90.0-21.0C_R1,,31 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),,2024-01-26 10:00:42 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.738519982897376,21,0.387309396828368,90,0.778553731533936,21,0.400141618465322,90,0.751843937883014,21,0.373138903106936,90,0.791529257569779,21,0.387667981473533,90,0.768866355397897,21,0.384948176410478,90,0.810053225226864,21,0.400134016977841,90,0.793819168864485,21,0.416872707116158,90,0.847788801378531,21,0.433598208223002,90,0.0281925812163079,21,0.0280814067566695,90,0.0280392794260732,21,0.0281019729556438,90,0.0131043461725384,21,0.0124064195382457,90,0.0129348804178893,21,0.0124713802067544,90,0.0119549218750559,21,0.0113656744812947,90,0.0119273367594418,21,0.0114714244374795,90,0.0290940398213127,21,0.0286090837582963,90,0.0288487317218224,21,0.0286963335120346
,89,0.746568311827844,22,0.387816571604835,89,0.776857950405092,22,0.400481125506921,89,0.755266799673826,22,0.373627839288396,89,0.789737575256993,22,0.38805271128211,89,0.77175723175048,22,0.385495845214893,89,0.809143440191055,22,0.400618574893767,89,0.799962887055697,22,0.417183600074354,89,0.847039749424853,22,0.434234378031907,89,0.0282108926254247,22,0.0280446816257832,89,0.0279542301615936,22,0.0280406744117728,89,0.0130361429281959,22,0.0123495577558878,89,0.0129150154599708,22,0.0124651194018893,89,0.0119796703410581,22,0.0113432286207943,89,0.0118449119950177,22,0.0114447678191972,89,0.0290781043236994,22,0.0285882068076821,89,0.0287941531694904,22,0.0286575806675232
,88,0.74592602283431,23,0.38946099530271,88,0.77176025072428,23,0.40195349763221,88,0.753540465437522,23,0.375406143691984,88,0.784559914949826,23,0.389574444555075,88,0.769375222965922,23,0.387416016813391,88,0.804821621459761,23,0.402328371161843,88,0.800974573537258,23,0.418865996101399,88,0.842047517353304,23,0.436004883639362,88,0.028160802427168,23,0.028049505033768,88,0.0279629689135529,23,0.0280622749991248,88,0.0129891043546849,23,0.0123519771177216,88,0.0129198037232675,23,0.0124727791964627,88,0.0119175779595855,23,0.0113359471743681,88,0.0118718165871484,23,0.0114459173926939,88,0.0290014433610158,23,0.0286221474859086,88,0.0287656574529734,23,0.0286375242877552
,87,0.741189717582836,24,0.39231255490358,87,0.765718948363299,24,0.404870722601154,87,0.748731999757131,24,0.378610362077967,87,0.778575540070066,24,0.392975153649723,87,0.764639255638546,24,0.390761655849813,87,0.798979830838622,24,0.406003134328734,87,0.797338052747275,24,0.422672930845961,87,0.836063262253342,24,0.439791935061318,87,0.0280664047839678,24,0.0280636651576606,87,0.0279587287857856,24,0.0280377575565557,87,0.0129404323206821,24,0.0123753612596289,87,0.0129002869844958,24,0.0124665796403227,87,0.0118443490585236,24,0.0113531702248607,87,0.0118958965214518,24,0.0114050741842365,87,0.028956331330936,24,0.0286530216661824,87,0.0287564384541688,24,0.0286362341802203
