CSV Report,2024-01-29_RNA_melting_NaCl_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),,2024-01-29 11:16:59 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.59591068245722,21,0.380062277392774,90,0.630781128027211,21,0.392760978997847,90,0.43056700333494,21,0.35603262149078,90,0.439443212943,21,0.353881120852629,90,0.394038188638254,21,0.35743394498266,90,0.405937717358093,21,0.367468518955869,90,0.421732154791731,21,0.390211511513227,90,0.430423808141531,21,0.394610447645976,90,0.0278832752020661,21,0.0279556387418611,90,0.0278153516103119,21,0.0278587918240427,90,0.0100290085659163,21,0.00987136564655186,90,0.0099976031618978,21,0.00987482314863875,90,0.00998208438765168,21,0.0097834470448226,90,0.0102278351704753,21,0.0098312076965791,90,0.0276197519892882,21,0.0275009892459634,90,0.0274764633650143,21,0.0273749784722172
,89,0.60144371058574,22,0.38059017877577,89,0.630976205576224,22,0.393102697653131,89,0.431561474694314,22,0.356400350047272,89,0.436139245192433,22,0.354112731919987,89,0.395146279932768,22,0.357617401222031,89,0.406368661656676,22,0.367643493687267,89,0.422886496287973,22,0.390507855637109,89,0.430388318517669,22,0.394847798329037,89,0.0279519751579901,22,0.0279603179940397,89,0.0278099020632794,22,0.0278514391885277,89,0.0100059698894814,22,0.00985810265520156,89,0.00996430654838087,22,0.00989026681357718,89,0.0100070480220519,22,0.00979206119850128,89,0.0102134664097885,22,0.00981037880978207,89,0.0276167697666681,22,0.0275111677049387,89,0.0274821229545648,22,0.027391463836987
,88,0.601830492456672,23,0.381846839158629,88,0.628725525851294,23,0.394320140149646,88,0.432181884689781,23,0.357367685177109,88,0.434920591689234,23,0.354898579987136,88,0.39645404984455,23,0.35807843865486,88,0.40668046522464,23,0.368163744755101,88,0.423266039097045,23,0.391103864096342,88,0.430807034143157,23,0.395508515384507,88,0.0279219302400472,23,0.0279470729867935,88,0.0278056665218881,23,0.0278307819722062,88,0.00995581719744058,23,0.00986609570839668,88,0.00995367979826634,23,0.00987340071832926,88,0.00999028325848715,23,0.00977919155782349,88,0.0102023461313817,23,0.00979030811921986,88,0.0275620948502128,23,0.0275079200900252,88,0.0274773646046619,23,0.0273810110065829
,87,0.601211226256587,24,0.384255997192327,87,0.625816656597739,24,0.396684552322324,87,0.432800318420572,24,0.358974987315884,87,0.434456298571337,24,0.356339939994895,87,0.396918611137089,24,0.358825916525977,87,0.407060898496236,24,0.369025742003875,87,0.423312689926584,24,0.391878453130875,87,0.431143881507797,24,0.396433213214479,87,0.0278919259400061,24,0.0279815824440665,87,0.0278166087825238,24,0.0278167341515505,87,0.00994969759778811,24,0.00985587086279649,87,0.0099625081870739,24,0.00986102338542693,87,0.00997286252982304,24,0.00980384715181844,87,0.0101814148195968,24,0.00977398617705804,87,0.0275439083913779,24,0.0275093188297872,87,0.0274806402301352,24,0.0273751144299887
