CSV Report,2024-02-14_RNA_melting_MgCl2_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0 mM MgCl2_260.00nm_90.0-21.0C,,0 mM MgCl2_260.00nm_21.0-90.0C,,0 mM MgCl2_260.00nm_90.0-21.0C_R1,,0 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0 mM MgCl2_400.00nm_90.0-21.0C,,0 mM MgCl2_400.00nm_21.0-90.0C,,0 mM MgCl2_400.00nm_90.0-21.0C_R1,,0 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.337224954915906,21,0.282801959967334,90,0.351136452391371,21,0.295338426983596,90,0.326733431229651,21,0.267908031303953,90,0.34241677227622,21,0.280615782718849,90,0.352034207742687,21,0.29013685966612,90,0.370421659752867,21,0.3019624612893,90,0.401868940674041,21,0.351782986285576,90,0.418848167761076,21,0.36109060912062,90,0.0259271066339527,21,0.025701103267445,90,0.0256561641603932,21,0.025560685872405,90,0.0084760046620326,21,0.00809081330605218,90,0.00812243725403138,21,0.00807425193318911,90,0.00753146568560208,21,0.00737754076875618,90,0.00750106785431932,21,0.00735449336419054,90,0.0262326120242642,21,0.0261511964669138,90,0.0260488850965013,21,0.0258952028244178
,89,0.338450841001113,22,0.282871403393197,89,0.351423829780841,22,0.295298181782378,89,0.327187720821505,22,0.267952050767882,89,0.342737695513469,22,0.280628754825679,89,0.353686461663956,22,0.28993618317519,89,0.370812682215754,22,0.301790014842006,89,0.402776753328826,22,0.352067137880507,89,0.419888295729656,22,0.361305339465967,89,0.0259611392105032,22,0.0256926101811552,89,0.0256736365176385,22,0.0255396408130744,89,0.00838693951842573,22,0.00807333736329776,89,0.00811425164395367,22,0.00807436983271817,89,0.00755703467833987,22,0.00739002738455794,89,0.00747530879573059,22,0.0073079677891339,89,0.0262078739404036,22,0.0261363259968231,89,0.0260189657845393,22,0.0258845789408591
,88,0.338928265844475,23,0.283051727421798,88,0.351305546926893,23,0.295416144892158,88,0.327362663504121,23,0.268138861737626,88,0.342816408809307,23,0.280821044039302,88,0.354881662772709,23,0.289961795630861,88,0.371339525831553,23,0.301877756499102,88,0.403361296480419,23,0.352713285376873,88,0.420206073962451,23,0.361904475659665,88,0.0259382272150802,23,0.0257168891803611,88,0.0256514881551031,23,0.0255126729118455,88,0.00833901230425653,23,0.00806390487665454,88,0.00809057322017463,23,0.00807004363085439,88,0.00753087013119706,23,0.00740729385281177,88,0.00745990107764867,23,0.00731692506742909,88,0.0261804847849407,23,0.0261361508669761,88,0.0260061351964296,23,0.0258858297247405
,87,0.338931999987706,24,0.283507835437751,87,0.351030604379675,24,0.295875715413705,87,0.327697156526044,24,0.268489783152345,87,0.34262450916358,24,0.281229083158924,87,0.355179635014657,24,0.290413586048518,87,0.371158243314242,24,0.302305777259862,87,0.403843235737836,24,0.353836900820425,87,0.419753924050874,24,0.363027703790454,87,0.0258279368941864,24,0.025818189626511,87,0.0256347919784073,24,0.0255063633257856,87,0.00828722402912927,24,0.00805254011617717,87,0.00807305428227515,24,0.00805517005456105,87,0.00751457119272655,24,0.00742789873049595,87,0.00743165244767279,24,0.00730705305493952,87,0.0261779075608356,24,0.0261634701045908,87,0.0259864723139698,24,0.0258804490021109
