CSV Report,2024-02-15_RNA_melting_MgCl2_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),,2024-02-15 10:18:44 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.318443359472349,21,0.277062088980118,90,0.342906440938596,21,0.299118414969792,90,0.305234956428749,21,0.257044214164415,90,0.327113467073833,21,0.27988015311965,90,0.317460727962159,21,0.267846367959305,90,0.334873204966016,21,0.281325846766394,90,0.340461451103067,21,0.289369827910779,90,0.356590009552052,21,0.305619549237199,90,0.0702908510076957,21,0.0238293894948539,90,0.0239352695075528,21,0.0237474168390265,90,0.0431188534120573,21,0.00591362623010062,90,0.00611332011343093,21,0.00588773651802505,90,0.0188276253256603,21,0.00594364324439654,90,0.00611872099032944,21,0.00600660820934863,90,0.0251509326015884,21,0.025006321532044,90,0.0250179997789922,21,0.0250018051346237
,89,0.313674631309007,22,0.277044736160003,89,0.344021652450595,22,0.299001519383279,89,0.303677251074588,22,0.256996613931154,89,0.32837117647708,22,0.279876700485194,89,0.317424417190043,22,0.268100828374774,89,0.334229458446327,22,0.28129641109919,89,0.341218830594504,22,0.289392297999174,89,0.357619486947294,22,0.305286154083187,89,0.0593858826965829,22,0.0238571978073908,89,0.0239198574542277,22,0.0236922336442551,89,0.0357770075893562,22,0.00591415109489822,89,0.00609340882387377,22,0.00587336468146305,89,0.0134397554907888,22,0.00612250367529929,89,0.0061277833475538,22,0.00596267403211557,89,0.025093955279835,22,0.0250351564305774,89,0.0250354864110831,22,0.025006824945663
,88,0.319520787654587,23,0.277101322947798,88,0.344450312987617,23,0.299424349931277,88,0.303126125994047,23,0.257070010282523,88,0.328772587022408,23,0.280148884083302,88,0.318578245327992,23,0.268180945191138,88,0.331715366456071,23,0.281523362652309,88,0.341740695276387,23,0.289615470938968,88,0.357528809178679,23,0.30540184324711,88,0.053587604723559,23,0.0238110066477722,88,0.0239393677519369,23,0.0237351693838719,88,0.0300636324065713,23,0.00592245794264843,88,0.00608360811454955,23,0.00586591136948501,88,0.0102860923966715,23,0.00598368496395588,88,0.00614545101357875,23,0.00594915332570417,88,0.0251092286113151,23,0.0250275717713622,88,0.0250151544212718,23,0.0250209588545021
,87,0.320677054346557,24,0.277445040450474,87,0.344240799847705,24,0.300160379458893,87,0.3035233347794,24,0.257649139761311,87,0.328678940218402,24,0.280889125724439,87,0.318080747698195,24,0.268570760292876,87,0.331313489654536,24,0.282128088206828,87,0.341938130075263,24,0.290107949080098,87,0.356932515091845,24,0.306538184988432,87,0.0484861204621797,24,0.0237796863467232,87,0.023975072892309,24,0.0237971487887472,87,0.025854233422724,24,0.00591384710702547,87,0.00606786297893583,24,0.00589117197415069,87,0.00815874915918239,24,0.00594653593183717,87,0.00616325045608837,24,0.00596790831340895,87,0.0251118207755563,24,0.0249901257075353,87,0.0249989978584421,24,0.0250458075202856
