CSV Report,2024-02-21_RNA_melting_MgCl2_Na_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,100 mM MgCl2_260.00nm_90.0-21.0C,,100 mM MgCl2_260.00nm_21.0-90.0C,,100 mM MgCl2_260.00nm_90.0-21.0C_R1,,100 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,100 mM MgCl2_400.00nm_90.0-21.0C,,100 mM MgCl2_400.00nm_21.0-90.0C,,100 mM MgCl2_400.00nm_90.0-21.0C_R1,,100 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),,2024-02-21 09:54:12 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.350471579757615,21,0.327389610433161,90,0.394870133426329,21,0.378083695001113,90,0.305203024685265,21,0.268757862127831,90,0.339288249663102,21,0.297365289144886,90,0.277692973147749,21,0.273089973978989,90,0.341081595015203,21,0.296795382563387,90,0.30801646543409,21,0.29836637774311,90,0.370025114347331,21,0.321058062186378,90,0.0502231599248277,21,0.0239695606865303,90,0.0241488497156659,21,0.0239274930396444,90,0.0437320052073673,21,0.00695883441778919,90,0.00688541535902729,21,0.00698405157581049,90,0.0379831143890997,21,0.00588545634743633,90,0.00556326022354848,21,0.0058696369143677,90,0.0311072663286429,21,0.025618095053449,90,0.0256528698541235,21,0.0256067195864554
,89,0.3599132529308,22,0.327463912448371,89,0.396326152708395,22,0.378159565931451,89,0.31146308666914,22,0.26867462239997,89,0.340202086867751,22,0.297417302125674,89,0.294626998469836,22,0.27308653426559,89,0.34206072666432,22,0.296779046388265,89,0.320041794821676,22,0.298396002241541,89,0.37082451299775,22,0.32113573884383,89,0.0356550580025495,22,0.0239371961280572,89,0.0241171665764438,22,0.0239231993712906,89,0.035526852515967,22,0.00694354324667468,89,0.00686384102879433,22,0.00699263414493331,89,0.0315654001069051,22,0.00588485772327593,89,0.0055826809531486,22,0.00587308199893561,89,0.030305853428376,22,0.0256240309438219,89,0.0256663327973463,22,0.0256123727368617
,88,0.360182061427064,23,0.327760953714123,88,0.397101339580877,23,0.378479086960176,88,0.312578047855268,23,0.268888611809347,88,0.340524422960954,23,0.297766896740233,88,0.30564388818887,23,0.273367441354776,88,0.342627572420343,23,0.297069436357807,88,0.332386324161877,23,0.298547535245173,88,0.371277912446744,23,0.321415542324494,88,0.0292950702068048,23,0.0239364892682497,88,0.0241423768959329,23,0.0239043883639154,88,0.0287492042227716,23,0.00693870260003815,88,0.00682816692649662,23,0.00699231673591939,88,0.0269862528514992,23,0.0058855836907839,88,0.00558558055336868,23,0.00588016818660124,88,0.0291073339454189,23,0.0256245610038535,88,0.02563857909017,23,0.0256057929117753
,87,0.360299696417848,24,0.328429362434216,87,0.397757941606279,24,0.378904197095472,87,0.313254381028161,24,0.269549321698124,87,0.340628161217074,24,0.298475247899646,87,0.312916614533492,24,0.273994813433346,87,0.342882734852128,24,0.297745031148034,87,0.337188902333291,24,0.299051566684157,87,0.371139066548015,24,0.321996403524606,87,0.0262023142962173,24,0.0239505164267666,87,0.0241336903528377,24,0.0238897187437969,87,0.0233174776843776,24,0.00693932129158196,87,0.00682117072902579,24,0.00696399540028101,87,0.0230741121409742,24,0.00588789598936841,87,0.00555249768986487,24,0.00585741473543027,87,0.027704618718592,24,0.025627304876951,87,0.0256331741046915,24,0.0255963558916063
