Temperature (C),Abs,Measurement,Name,norm_Abs,dabs_dt
90.0,0.2853288831641047,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9350130249599364,-0.04570415227847813
89.0,0.2874917636559328,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9807171772384146,-0.03249348752003178
88.0,0.2884042943363903,5,10 mM CaCl2_260.00nm_90.0-21.0C,1.0,-0.009073111622173446
87.0,0.2883505064681048,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9988634004827615,0.008520112027938787
86.0,0.2875978912778176,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9829597759441224,0.009009471677549175
85.0,0.2874977869858872,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9808444571276631,0.004090192951931193
84.0,0.2872107667780723,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.97477939004026,0.011055688354015603
83.0,0.2864513992301781,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9587330804196319,0.014173192795904954
82.0,0.2858693165737933,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9464330044484501,0.01207867555847486
81.0,0.2853081888026718,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9345757293026822,0.010167710699361954
80.0,0.2849069732407759,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9260975830497262,0.003988562622136482
79.0,0.284930683308935,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9265986040584092,0.00836390687367089
78.0,0.2841153545317227,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.9093697693023844,0.018374321742851807
77.0,0.2831916088455891,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.8898499605727056,0.018812004507828717
76.0,0.2823348547069256,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.871745760286727,0.01765964994859731
75.0,0.2815201759248511,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.854530660675511,0.01616304890117648
74.0,0.2808050705882393,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.839419662484374,0.015198979521740541
73.0,0.2800816380824701,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.8241327016320299,0.016347466818311285
72.0,0.2792578318666152,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.8067247288477515,0.01864091841423804
71.0,0.2783173310434836,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.7868508648035538,0.020560292900533572
70.0,0.2773118617871405,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.7656041430466843,0.020493012392123755
69.0,0.2763777288624105,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.7458648400193063,0.020107008939770687
68.0,0.2754087936755229,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.725390125167143,0.018426623497553862
67.0,0.2746337041947924,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.7090115930241986,0.01827508372680403
66.0,0.273679111792862,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.6888399577135349,0.020838544843800433
65.0,0.2726613984031383,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.6673345033365977,0.021069015345086095
64.0,0.2716849926592544,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.6467019270233627,0.021277486531521506
63.0,0.2706475480967698,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.6247795302735547,0.0201776016047589
62.0,0.2697752431635455,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.6063467238138449,0.018500118969832335
61.0,0.2688965673030535,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.58777929233389,0.017917953684897736
60.0,0.2680793625686091,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.5705108164440494,0.01590759629624494
59.0,0.2673909610075298,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.5559640997414002,0.015569594146173593
58.0,0.2666057471631967,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.5393716281517023,0.017896320517523656
57.0,0.2656971279270251,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.5201714587063528,0.01708897715080665
56.0,0.264988326711787,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.505193673850089,0.017181793938833262
55.0,0.2640709226449106,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.4858078708286863,0.018695827597347503
54.0,0.2632188226832471,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.46780201865539395,0.017294324216127477
53.0,0.2624340667094368,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.45121922239643136,0.01749833053208577
52.0,0.2615626581616165,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.4328053575912224,0.01726666938519053
51.0,0.2607998282207969,5,10 mM CaCl2_260.00nm_90.0-21.0C,0.4166858836260503,0.016155409475034715
