CSV Report,2023-08-16_RNA_melting_CaCl2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),90

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),,2023-08-16 15:06:45 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.306994543434337,21,0.260514465201091,90,0.321840840995255,21,0.275584260890253,90,0.28865191766042,21,0.235834110285301,90,0.296337060736874,21,0.242587453193338,90,0.321340252286676,21,0.262630643599578,90,0.328733568350809,21,0.271161294047344,90,0.351414455916515,21,0.294068521471156,90,0.36433965309879,21,0.305486820125105,90,0.0282018795017759,21,0.0276971401344,90,0.0280283991472839,21,0.0279752146254347,90,0.00873996818423913,21,0.00787960218019445,90,0.00882170376852763,21,0.00846572874210091,90,0.00969544518787375,21,0.00938516290100181,90,0.00964162733235202,21,0.00960317782946859,90,0.028213425720589,21,0.0279393520967078,90,0.0282426057921913,21,0.0282753589797813
,89,0.307566617351808,22,0.260562646401492,89,0.322148943436918,22,0.275832757827094,89,0.289212097572785,22,0.235950260826289,89,0.293796255066917,22,0.242644861902172,89,0.321532334186195,22,0.262798902045819,89,0.329211185867139,22,0.271195715543941,89,0.351892049053799,22,0.294215078810151,89,0.364549475938143,22,0.305562187350354,89,0.0281765297550277,22,0.0277661141329072,89,0.0279849228906529,22,0.0280066718055569,89,0.00875192660418856,22,0.00789645340890913,89,0.00878258030778635,22,0.00847605455697967,89,0.0097037487350357,22,0.0093933753269903,89,0.0096575437222926,22,0.00963271348634283,89,0.0282398197479851,22,0.0279729485985681,89,0.0282276326514555,22,0.0283133132100346
,88,0.307755286012713,23,0.260762334073391,88,0.322006931953647,23,0.27617661536182,88,0.289240172765795,23,0.236148666727332,88,0.291351647700576,23,0.242895545133728,88,0.321684451834397,23,0.263042262393272,88,0.32921711109161,23,0.271448231752218,88,0.35183201836433,23,0.294486387573608,88,0.364518996754824,23,0.305804785501028,88,0.0281462484601734,23,0.0277756606970554,88,0.0279844002360137,23,0.0280309778793328,88,0.0087652204100872,23,0.00791635349067822,88,0.00875312168512726,23,0.00850031017399687,88,0.00969927364083454,23,0.00939814407770393,88,0.00965434317447802,23,0.00964488781041771,88,0.0282499441901489,23,0.0279597260729966,88,0.0282198208903356,23,0.0283546741274833
,87,0.307856656106374,24,0.261193181849385,87,0.32192837427182,24,0.276720769214277,87,0.289092916744933,24,0.236572766483972,87,0.290850010422315,24,0.243359214073207,87,0.321419430559623,24,0.26338763510719,87,0.329110576270011,24,0.271971954409739,87,0.352369396985824,24,0.294962460136466,87,0.364549945965431,24,0.306412994582698,87,0.0280866098343121,24,0.0277516193577718,87,0.0279722554802826,24,0.0280410557339112,87,0.00874404331898505,24,0.00793107142741825,87,0.00873878348146446,24,0.00854441253921094,87,0.00965675248552962,24,0.00938722853438268,87,0.00963476256847599,24,0.00965306497853642,87,0.0282450266964654,24,0.0279450747947795,87,0.0282126092716931,24,0.0283891292349675
