CSV Report,2023-08-18_RNA_melting_CaCl2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,0 mM CaCl2_260.00nm_90.0-21.0C,,0 mM CaCl2_260.00nm_21.0-90.0C,,0 mM CaCl2_260.00nm_90.0-21.0C_R1,,0 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,0 mM CaCl2_400.00nm_90.0-21.0C,,0 mM CaCl2_400.00nm_21.0-90.0C,,0 mM CaCl2_400.00nm_90.0-21.0C_R1,,0 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),,2023-08-18 10:12:52 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.260556254358965,21,0.302844467543257,90,0.360340622980672,21,0.344676995709525,90,0.242089501298785,21,0.239992732718484,90,0.303327307161411,21,0.268070992202932,90,0.277137153956522,21,0.252432505469378,90,0.317349792240918,21,0.277876303024156,90,0.7950369732898,21,0.417413213633055,90,0.841288230777186,21,0.430280012024021,90,0.0838320865769625,21,0.0233723765671612,90,0.0225273084691924,21,0.0220327875564742,90,0.0604683730848164,21,0.0152142746298074,90,0.00598917848740121,21,0.00533036167951629,90,0.0608177687912879,21,0.0201791028974676,90,0.00962920324303153,21,0.00900113071084348,90,0.0356032727835918,21,0.0359085410683994,90,0.036858957575377,21,0.0356761081370878
,89,0.28651214264013,22,0.302940366817717,89,0.361877939408218,22,0.344732153297385,89,0.251571493592259,22,0.240125990258458,89,0.304327630918479,22,0.268121009549097,89,0.278351067178571,22,0.252476014899997,89,0.318242558835849,22,0.277899563602282,89,0.800340795906756,22,0.417954916857597,89,0.839320422461513,22,0.430826492722209,89,0.0667061993969317,22,0.0233350987135289,89,0.0225189523531303,22,0.022053494329554,89,0.0543203052816758,22,0.0152571437577372,89,0.00594096284131778,22,0.00538698389643139,89,0.0555162981716375,22,0.0201893503782298,89,0.00943712361994388,22,0.00899750000803908,89,0.0356515887517819,22,0.0359061668073506,89,0.036765028468092,22,0.0357381905995973
,88,0.301670955630664,23,0.303290358850031,88,0.36217984619162,23,0.344955954875428,88,0.256052487385706,23,0.240334312659563,88,0.304771927405062,23,0.268438246910317,88,0.283400083552111,23,0.25259402209224,88,0.318576914554298,23,0.27825540399331,88,0.800207386676088,23,0.419604239434553,88,0.833909304379961,23,0.432511251232644,88,0.054603178651818,23,0.0233316406889151,88,0.0225306442551265,23,0.0220409647738101,88,0.0480611781045743,23,0.0152567726847265,88,0.00590069479268183,23,0.00538710114022015,88,0.0517796645692988,23,0.0201646848768598,88,0.00934449311652783,23,0.00897110497972154,88,0.0356584544280022,23,0.0358948274640018,88,0.0366609069180622,23,0.0357457057834899
,87,0.312759632241945,24,0.303974003445377,87,0.362508076133023,24,0.345348381136713,87,0.259360913872234,24,0.241012867055261,87,0.304976904563136,24,0.269138081395282,87,0.283961536673023,24,0.253115767633631,87,0.318641677233751,24,0.2789027303009,87,0.79611825616642,24,0.42286440354286,87,0.827514558134644,24,0.435657084089052,87,0.045908675661009,24,0.0233227970410848,87,0.0225436509727582,24,0.0220518052865537,87,0.0428417660178191,24,0.0152640775554358,87,0.00589195825002756,24,0.0053759231084739,87,0.0475329372573043,24,0.0201441174173039,87,0.0092744755166126,24,0.00898833447740347,87,0.0356281413121353,24,0.0358817170775179,87,0.0366593692652368,24,0.0357427812501947
