CSV Report,2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,1 mM CaCl2_260.00nm_90.0-21.0C,,1 mM CaCl2_260.00nm_21.0-90.0C,,1 mM CaCl2_260.00nm_90.0-21.0C_R1,,1 mM CaCl2_260.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_260.00nm_90.0-21.0C,,0.1 mM CaCl2_260.00nm_21.0-90.0C,,0.1 mM CaCl2_260.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,,1 mM CaCl2_400.00nm_90.0-21.0C,,1 mM CaCl2_400.00nm_21.0-90.0C,,1 mM CaCl2_400.00nm_90.0-21.0C_R1,,1 mM CaCl2_400.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_400.00nm_90.0-21.0C,,0.1 mM CaCl2_400.00nm_21.0-90.0C,,0.1 mM CaCl2_400.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),,2023-08-22 09:40:34 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.309665427445521,21,0.264068572562005,90,0.329802781116396,21,0.28109492720725,90,0.304369294224297,21,0.254620985572931,90,0.32247562960026,21,0.270228036977825,90,0.330423601809019,21,0.272535447986048,90,0.34343719792232,21,0.282647151794771,90,0.357961201789101,21,0.301875447294946,90,0.374693012405842,21,0.312044710921743,90,0.0240205497231103,21,0.0237396493733217,90,0.0239600864989332,21,0.0238142103296247,90,0.00514153167087511,21,0.00545561499577754,90,0.00515796465932176,21,0.00573778513114735,90,0.00728574427070993,21,0.00719050004070973,90,0.00762734223969679,21,0.00743043462794717,90,0.0267299949318315,21,0.0273223692494988,90,0.0273011427872349,21,0.0274823492694738
,89,0.311492112694439,22,0.264176976144344,89,0.330135599487602,22,0.281131463959512,89,0.305133080978992,22,0.254738350587176,89,0.322904242217381,22,0.270219447386339,89,0.331087924848091,22,0.272633607090322,89,0.343778399788144,22,0.282743026100332,89,0.359524556928363,22,0.301923219090359,89,0.375191239523236,22,0.312059983744885,89,0.0239699757318026,22,0.0237200368418973,89,0.0239282537272647,22,0.0237625111689741,89,0.00512161590842937,22,0.00549735450948236,89,0.00513773167905351,22,0.00573803996097967,89,0.00730043747225269,22,0.00717600843109374,89,0.00761444649181736,22,0.00739705499792173,89,0.0267022977728489,22,0.0272646758926592,89,0.0272887953036929,22,0.0274422175043459
,88,0.312327478694658,23,0.264426265089591,88,0.330052622842541,23,0.281430041795463,88,0.305567987901484,23,0.254864782884903,88,0.322903078900141,23,0.270434157414905,88,0.331394584465327,23,0.272861207961304,88,0.344101435515869,23,0.283018031087512,88,0.360378904896257,23,0.302124131033305,88,0.375219654816049,23,0.312293055113029,88,0.0239814769096688,23,0.0237281821668374,88,0.0239168843189509,23,0.0237439004221412,88,0.00511707464220739,23,0.00550382519070653,88,0.00513245375263435,23,0.00575880666747958,88,0.00729634913293598,23,0.00719533220973695,88,0.00759695508150447,23,0.00739165492858443,88,0.0267020588532033,23,0.0272408709692138,88,0.0272658533303219,23,0.0274101290330005
,87,0.312719636287697,24,0.264895551598953,87,0.329913084822963,24,0.28200362529991,87,0.306035291266785,24,0.255288568572716,87,0.322633904155132,24,0.271096890946813,87,0.331724897483974,24,0.273351817506356,87,0.34425420903855,24,0.283560492503823,87,0.36071912755954,24,0.302629832049313,87,0.375286563025602,24,0.312782821501947,87,0.0239701639504198,24,0.0237228585964955,87,0.023900791937242,24,0.0237551569900158,87,0.00509785495872202,24,0.00552417670359153,87,0.00515014939693024,24,0.00576846466777766,87,0.00730662024630699,24,0.00716412447874939,87,0.00757322700982047,24,0.00740493088184889,87,0.0266906916952688,24,0.0272161710040067,87,0.0272515579679781,24,0.0273910505652501
