CSV Report,2023-09-19_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,100 mM KCl_260.00nm_90.0-21.0C,,100 mM KCl_260.00nm_21.0-90.0C,,100 mM KCl_260.00nm_90.0-21.0C_R1,,100 mM KCl_260.00nm_21.0-90.0C_R1,,50 mM KCl_260.00nm_90.0-21.0C,,50 mM KCl_260.00nm_21.0-90.0C,,50 mM KCl_260.00nm_90.0-21.0C_R1,,50 mM KCl_260.00nm_21.0-90.0C_R1,,25 mM KCl_260.00nm_90.0-21.0C,,25 mM KCl_260.00nm_21.0-90.0C,,25 mM KCl_260.00nm_90.0-21.0C_R1,,25 mM KCl_260.00nm_21.0-90.0C_R1,,10 mM KCl_260.00nm_90.0-21.0C,,10 mM KCl_260.00nm_21.0-90.0C,,10 mM KCl_260.00nm_90.0-21.0C_R1,,10 mM KCl_260.00nm_21.0-90.0C_R1,,100 mM KCl_400.00nm_90.0-21.0C,,100 mM KCl_400.00nm_21.0-90.0C,,100 mM KCl_400.00nm_90.0-21.0C_R1,,100 mM KCl_400.00nm_21.0-90.0C_R1,,50 mM KCl_400.00nm_90.0-21.0C,,50 mM KCl_400.00nm_21.0-90.0C,,50 mM KCl_400.00nm_90.0-21.0C_R1,,50 mM KCl_400.00nm_21.0-90.0C_R1,,25 mM KCl_400.00nm_90.0-21.0C,,25 mM KCl_400.00nm_21.0-90.0C,,25 mM KCl_400.00nm_90.0-21.0C_R1,,25 mM KCl_400.00nm_21.0-90.0C_R1,,10 mM KCl_400.00nm_90.0-21.0C,,10 mM KCl_400.00nm_21.0-90.0C,,10 mM KCl_400.00nm_90.0-21.0C_R1,,10 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:18 (+02:00),,2023-09-19 10:22:19 (+02:00),,2023-09-19 10:22:19 (+02:00),,2023-09-19 10:22:19 (+02:00),,2023-09-19 10:22:19 (+02:00),,2023-09-19 10:22:19 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.514417842410893,21,0.322244556692523,90,0.550410709756017,21,0.333403283014387,90,0.52338026329789,21,0.317058953927215,90,0.539484889037744,21,0.317879751123325,90,0.538339669451202,21,0.33323753959763,90,0.567539760137849,21,0.34588862885811,90,0.562770011872041,21,0.362172710973689,90,0.597283541869295,21,0.37407636728533,90,0.0240884855225371,21,0.0235972617145591,90,0.0237346896820674,21,0.0234354584008139,90,0.00539419069952892,21,0.00517717479521526,90,0.00506763070549334,21,0.00514099935579188,90,0.00885260743775568,21,0.00878104350134632,90,0.00861025130359781,21,0.00868563322988717,90,0.0249125956452431,21,0.0246993276635916,90,0.0244173042633349,21,0.024926291397159
,89,0.520608675971944,22,0.322593361771173,89,0.549664157962491,22,0.333752312218727,89,0.528252860885769,22,0.31752022483314,89,0.538994364619783,22,0.318246053775788,89,0.541055185917108,22,0.333645940848569,89,0.567503417448565,22,0.346236660497571,89,0.566445532928249,22,0.362025779578421,89,0.597523672009773,22,0.374504100932734,89,0.0241534454174111,22,0.0235821118645526,89,0.0237203813097978,22,0.0233822706826375,89,0.00533985884745139,22,0.00520884821796594,89,0.00509175709524876,22,0.00512590486717231,89,0.00885504627234645,22,0.00875457879419892,89,0.00862243516221492,22,0.00864000666994407,89,0.0248590579592542,22,0.0247207118412359,89,0.0244393943314065,22,0.0248717815687913
,88,0.522104278435125,23,0.323442553713985,88,0.547459673219481,23,0.334629237230033,88,0.528713620156169,23,0.318471694126376,88,0.536439375410052,23,0.319168367524382,88,0.541138205463583,23,0.334588843726882,88,0.566154325089848,23,0.34718768424213,88,0.568606737918895,23,0.362778977086504,88,0.595428538645508,23,0.375547952732912,88,0.0241240887797885,23,0.023601443176282,88,0.0237130718366558,23,0.0233511303046877,88,0.00527449808161878,23,0.00522129941849617,88,0.00504607745292811,23,0.00512429278450938,88,0.00883659762702013,23,0.00877242947877014,88,0.00859738578542675,23,0.00861946851487037,88,0.0248182189304333,23,0.0247294584778985,88,0.0244318446831876,23,0.0248536178946227
,87,0.521356045011435,24,0.325088972492321,87,0.544639685360005,24,0.33633303282058,87,0.526079170574706,24,0.320418861124529,87,0.532733985540635,24,0.320839272351753,87,0.539837760114021,24,0.336554070377321,87,0.563444966730002,24,0.349032229871876,87,0.568605751482583,24,0.364916395457904,87,0.592393232862601,24,0.377504155122191,87,0.0239927825698844,24,0.023618390348104,87,0.0237077547283677,24,0.0233561782141763,87,0.00523841272133217,24,0.0052065309070967,87,0.00502519510703292,24,0.00516911983830227,87,0.00878813156436304,24,0.00874118808631066,87,0.00857537074251008,24,0.00863595992809029,87,0.0248081167108929,24,0.024714470029387,87,0.024423229875223,24,0.0248859207384333
