CSV Report,2023-09-20_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM KCl_260.00nm_90.0-21.0C,,500 mM KCl_260.00nm_21.0-90.0C,,500 mM KCl_260.00nm_90.0-21.0C_R1,,500 mM KCl_260.00nm_21.0-90.0C_R1,,5 mM KCl_260.00nm_90.0-21.0C,,5 mM KCl_260.00nm_21.0-90.0C,,5 mM KCl_260.00nm_90.0-21.0C_R1,,5 mM KCl_260.00nm_21.0-90.0C_R1,,1 mM KCl_260.00nm_90.0-21.0C,,1 mM KCl_260.00nm_21.0-90.0C,,1 mM KCl_260.00nm_90.0-21.0C_R1,,1 mM KCl_260.00nm_21.0-90.0C_R1,,0.1 mM KCl_260.00nm_90.0-21.0C,,0.1 mM KCl_260.00nm_21.0-90.0C,,0.1 mM KCl_260.00nm_90.0-21.0C_R1,,0.1 mM KCl_260.00nm_21.0-90.0C_R1,,500 mM KCl_400.00nm_90.0-21.0C,,500 mM KCl_400.00nm_21.0-90.0C,,500 mM KCl_400.00nm_90.0-21.0C_R1,,500 mM KCl_400.00nm_21.0-90.0C_R1,,5 mM KCl_400.00nm_90.0-21.0C,,5 mM KCl_400.00nm_21.0-90.0C,,5 mM KCl_400.00nm_90.0-21.0C_R1,,5 mM KCl_400.00nm_21.0-90.0C_R1,,1 mM KCl_400.00nm_90.0-21.0C,,1 mM KCl_400.00nm_21.0-90.0C,,1 mM KCl_400.00nm_90.0-21.0C_R1,,1 mM KCl_400.00nm_21.0-90.0C_R1,,0.1 mM KCl_400.00nm_90.0-21.0C,,0.1 mM KCl_400.00nm_21.0-90.0C,,0.1 mM KCl_400.00nm_90.0-21.0C_R1,,0.1 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),,2023-09-20 10:03:11 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.735243043056473,21,0.389901206380162,90,0.764829652703176,21,0.392270492113347,90,0.541308622828353,21,0.330890325069015,90,0.572873883490819,21,0.343771972437593,90,0.390995074972286,21,0.311798944735747,90,0.407112166030674,21,0.322812912699134,90,0.357273795766425,21,0.312605313077623,90,0.372720667413492,21,0.322390316489681,90,0.0251506170124985,21,0.0248055134816225,90,0.024700273098359,21,0.0245639804915699,90,0.00596597108600465,21,0.00546211726950873,90,0.00569945468547786,21,0.00534231433959378,90,0.00741663970900584,21,0.00760034094026965,90,0.00742813725142646,21,0.00731485384419874,90,0.0246225664925396,21,0.0243435133719237,90,0.024489997505961,21,0.0241044373403008
,89,0.742669030716669,22,0.390621334178641,89,0.763135019320962,22,0.392787358276914,89,0.544198165991476,22,0.336616777306567,89,0.573163424128642,22,0.344216308223061,89,0.392080102614,22,0.312165149895919,89,0.407860221260791,22,0.323074475387304,89,0.357981898283488,22,0.312869012729446,89,0.373288509403637,22,0.322581684062087,89,0.0250829269622564,22,0.024787370235514,89,0.0247020719906267,22,0.0246015549910095,89,0.00593090794130582,22,0.00545836106735453,89,0.00571291517147939,22,0.00536528727843833,89,0.00740820130993518,22,0.00757060510668465,89,0.00745490314830536,22,0.00729137889264153,89,0.0246810326122899,22,0.0243524809123425,89,0.0245187246007237,22,0.0241214821158709
,88,0.742664328602956,23,0.39199889528936,88,0.757876146025361,23,0.394195051593004,88,0.544854442303949,23,0.33601004889575,88,0.570916676841529,23,0.345380219372212,88,0.392498202570461,23,0.312876450464495,88,0.407970171873117,23,0.323812597715676,88,0.35824345719939,23,0.313381385596654,88,0.373450000439688,23,0.323123052764595,88,0.0251828207283439,23,0.0247896175538605,88,0.0247370754650786,23,0.0246154939309593,88,0.00592079298710352,23,0.0054726542382939,88,0.00568899295046059,23,0.00538246632696323,88,0.00743303002344134,23,0.00758733794542904,88,0.00746349291551135,23,0.00728137194154873,88,0.02465567170442,23,0.02436601169271,88,0.0245336383860875,23,0.0241045607922199
,87,0.739335203018671,24,0.39468967662679,87,0.751928519891886,24,0.39639059612771,87,0.544258156716507,24,0.33515393461371,87,0.567851041596768,24,0.347338949076981,87,0.392278447946167,24,0.314257292292778,87,0.407696432264812,24,0.325065822604156,87,0.358743812566588,24,0.314328975541466,87,0.373308255877327,24,0.32392762383455,87,0.0250896325847095,24,0.0248116974142947,87,0.0247159882661318,24,0.0246411836320604,87,0.00592852300336943,24,0.00546104677127988,87,0.00566933735870546,24,0.00538066953418466,87,0.00746122293116091,24,0.00758610135131615,87,0.00743541374584969,24,0.00728343145370416,87,0.0245951898203386,24,0.0243516629269733,87,0.0245131510899571,24,0.0241021814691943
