CSV Report,2023-11-09_RNA_melting_H2O.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,1 mM EDTA1_260.00nm_90.0-21.0C,,1 mM EDTA1_260.00nm_21.0-90.0C,,1 mM EDTA1_260.00nm_90.0-21.0C_R1,,1 mM EDTA1_260.00nm_21.0-90.0C_R1,,1 mM EDTA2_260.00nm_90.0-21.0C,,1 mM EDTA2_260.00nm_21.0-90.0C,,1 mM EDTA2_260.00nm_90.0-21.0C_R1,,1 mM EDTA2_260.00nm_21.0-90.0C_R1,,0 mM EDTA1_260.00nm_90.0-21.0C,,0 mM EDTA1_260.00nm_21.0-90.0C,,0 mM EDTA1_260.00nm_90.0-21.0C_R1,,0 mM EDTA1_260.00nm_21.0-90.0C_R1,,0 mM EDTA2_260.00nm_90.0-21.0C,,0 mM EDTA2_260.00nm_21.0-90.0C,,0 mM EDTA2_260.00nm_90.0-21.0C_R1,,0 mM EDTA2_260.00nm_21.0-90.0C_R1,,1 mM EDTA1_400.00nm_90.0-21.0C,,1 mM EDTA1_400.00nm_21.0-90.0C,,1 mM EDTA1_400.00nm_90.0-21.0C_R1,,1 mM EDTA1_400.00nm_21.0-90.0C_R1,,1 mM EDTA2_400.00nm_90.0-21.0C,,1 mM EDTA2_400.00nm_21.0-90.0C,,1 mM EDTA2_400.00nm_90.0-21.0C_R1,,1 mM EDTA2_400.00nm_21.0-90.0C_R1,,0 mM EDTA1_400.00nm_90.0-21.0C,,0 mM EDTA1_400.00nm_21.0-90.0C,,0 mM EDTA1_400.00nm_90.0-21.0C_R1,,0 mM EDTA1_400.00nm_21.0-90.0C_R1,,0 mM EDTA2_400.00nm_90.0-21.0C,,0 mM EDTA2_400.00nm_21.0-90.0C,,0 mM EDTA2_400.00nm_90.0-21.0C_R1,,0 mM EDTA2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.351945094561105,21,0.325468340240696,90,0.361244133836028,21,0.324634437464129,90,0.30858063846497,21,0.280407938955382,90,0.319983595029122,21,0.28989927841508,90,0.314616122767546,21,0.289067072401528,90,0.309057103382145,21,0.269498868750774,90,0.337656568314602,21,0.309446411749433,90,0.344882962727872,21,0.306220444653222,90,0.0312591554184575,21,0.031178995961063,90,0.0313814150851439,21,0.031304697896564,90,0.00864375983048264,21,0.00849744267437853,90,0.00862287334461252,21,0.00854381516674375,90,0.00479039651407825,21,0.00450066651136784,90,0.00490236798234401,21,0.00455122658039361,90,0.0261410693604717,21,0.0259125791153296,90,0.0261071598847075,21,0.0258805710328313
,89,0.352606755191638,22,0.32570722975557,89,0.361872753584631,22,0.324808620421106,89,0.309360829895516,22,0.280610462631349,89,0.320192028095549,22,0.290071028202195,89,0.315877517409868,22,0.289138424666145,89,0.314969282204035,22,0.269667539356471,89,0.337798039663618,22,0.309560354974964,89,0.345677231606792,22,0.306402136761719,89,0.0312724063179602,22,0.0312067968777489,89,0.0313367370680406,22,0.0313161155155423,89,0.0086335363901506,22,0.00847558510874036,89,0.00859813451682225,22,0.00853121964127875,89,0.0048097837784928,22,0.00450784045781779,89,0.00489461668742645,22,0.00454729424480035,89,0.0261466712871499,22,0.0259199534758704,89,0.0260796795677705,22,0.0259039809220187
,88,0.353718372718661,23,0.32620313637559,88,0.362092701547613,23,0.325265994685867,88,0.309974171607431,23,0.28110316115427,88,0.320545911234427,23,0.29055470289826,88,0.317095356050966,23,0.289507609918296,88,0.31577117195493,23,0.270187109208107,88,0.338417752488021,23,0.310067542254351,88,0.345901440770942,23,0.30700912074054,88,0.0312493180168937,23,0.0312200448952175,88,0.0313741208052994,23,0.0313162096411684,88,0.00862629523550407,23,0.0084944735497948,88,0.00858004288658679,23,0.008531454066211,88,0.00480289517740458,23,0.00450396005404806,88,0.00492599983361557,23,0.00454953402170702,88,0.0261424674855519,23,0.0259298413704794,88,0.02609180196199,23,0.0259020400226748
,87,0.354533931273533,24,0.327077188220941,87,0.362031701824331,24,0.326093300538923,87,0.310164201851043,24,0.28203359900309,87,0.320720377113411,24,0.291413688934896,87,0.317259166423459,24,0.290174679401386,87,0.31640423742436,24,0.271136009948337,87,0.339180665887398,24,0.310945448796718,87,0.345853332909672,24,0.308123612794014,87,0.0312489491842488,24,0.0312527950770022,87,0.0313865364623378,24,0.0313117167349165,87,0.00861036586977901,24,0.00849919893157214,87,0.00854507608326992,24,0.00856455887811456,87,0.0048133334954118,24,0.00451956418219064,87,0.00492302782016878,24,0.00455696766795962,87,0.0261444944214906,24,0.0259383801408077,87,0.0260966696797865,24,0.0259102728369777
