CSV Report,2023-11-23_RNA_melting_CaCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,1 mM CaCl2_260.00nm_90.0-21.0C,,1 mM CaCl2_260.00nm_21.0-90.0C,,1 mM CaCl2_260.00nm_90.0-21.0C_R1,,1 mM CaCl2_260.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_260.00nm_90.0-21.0C,,0.1 mM CaCl2_260.00nm_21.0-90.0C,,0.1 mM CaCl2_260.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,1 mM CaCl2_400.00nm_90.0-21.0C,,1 mM CaCl2_400.00nm_21.0-90.0C,,1 mM CaCl2_400.00nm_90.0-21.0C_R1,,1 mM CaCl2_400.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_400.00nm_90.0-21.0C,,0.1 mM CaCl2_400.00nm_21.0-90.0C,,0.1 mM CaCl2_400.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.319078897351217,21,0.279968252847261,90,0.35126092596728,21,0.304005299335281,90,0.285328883164105,21,0.240253345584522,90,0.2993270853253,21,0.255913294271014,90,0.317013390528125,21,0.262364483527093,90,0.327869390977105,21,0.270570276024026,90,0.373090779047064,21,0.317778688371572,90,0.386825929423532,21,0.327295307459911,90,0.0253967861670445,21,0.0252045265074749,90,0.0254316995152645,21,0.0251467359009425,90,0.00972984799676354,21,0.00890823661977513,90,0.00878687077017839,21,0.0087099499751357,90,0.0068960944134001,21,0.00683549205375815,90,0.00694333063388205,21,0.00676808587184169,90,0.0375161518397104,21,0.0379081500733247,90,0.0376478664294032,21,0.037819596726976
,89,0.326869892566592,22,0.279958339935687,89,0.352319947718935,22,0.304066480917208,89,0.287491763655933,22,0.240248502756207,89,0.300165124128313,22,0.256019360777193,89,0.318868967376274,22,0.262326886791112,89,0.328051373302921,22,0.270564302041853,89,0.373898972614884,22,0.317820844930978,89,0.387002927619315,22,0.327483228012075,89,0.0255098313632249,22,0.0252471501509858,89,0.0254045657514068,22,0.0251632079569983,89,0.00983295780919006,22,0.00890597267639621,89,0.00875981751373166,22,0.00869659363394654,89,0.00698919218800763,22,0.00678617528590068,89,0.00695010871922442,22,0.00673647783556188,89,0.0375473213909121,22,0.0379139976130913,89,0.0376582913700728,22,0.0378260951671311
,88,0.328651117707925,23,0.2800833587979,88,0.352607436225523,23,0.304356418693709,88,0.28840429433639,23,0.240370200464735,88,0.300693351008133,23,0.256212735292252,88,0.319065655018143,23,0.262494595868798,88,0.32846566226619,23,0.270793145179585,88,0.374104233631941,23,0.318107339115653,88,0.38687103474366,23,0.32781661890213,88,0.0255085962036183,23,0.0252249001413908,88,0.0254062671077293,23,0.0251423500638135,88,0.00975934348819,23,0.00884134848689582,88,0.00871823972352082,23,0.00868160946600714,88,0.00695049875398525,23,0.00676141645382429,88,0.0069413911329923,23,0.00673254304104822,88,0.0375270777015537,23,0.0379251684707879,88,0.0376667551464842,23,0.0378351278193295
,87,0.32916203611833,24,0.280633628865455,87,0.352541554904904,24,0.305022264134026,87,0.288350506468105,24,0.240975671098681,87,0.300448871465088,24,0.256492494032935,87,0.319014535545194,24,0.262956899324159,87,0.328612029214648,24,0.27122899459327,87,0.374346119507526,24,0.318835414027883,87,0.38710713170361,24,0.328412881505754,87,0.0254805498106452,24,0.0252698039792682,87,0.0254027503890748,24,0.0251503522503482,87,0.00966361863447777,24,0.00889279034644821,87,0.00868399273746309,24,0.00865968796193149,87,0.00695406724857085,24,0.00678615541930527,87,0.00692423973323335,24,0.00673759442768064,87,0.0375353590848822,24,0.0379901948104632,87,0.0376618905285997,24,0.0378479401312422
