CSV Report,2023-11-24_RNA_melting_CaCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM CaCl2_260.00nm_90.0-21.0C,,500 mM CaCl2_260.00nm_21.0-90.0C,,500 mM CaCl2_260.00nm_90.0-21.0C_R1,,500 mM CaCl2_260.00nm_21.0-90.0C_R1,,100 mM CaCl2_260.00nm_90.0-21.0C,,100 mM CaCl2_260.00nm_21.0-90.0C,,100 mM CaCl2_260.00nm_90.0-21.0C_R1,,100 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,500 mM CaCl2_400.00nm_90.0-21.0C,,500 mM CaCl2_400.00nm_21.0-90.0C,,500 mM CaCl2_400.00nm_90.0-21.0C_R1,,500 mM CaCl2_400.00nm_21.0-90.0C_R1,,100 mM CaCl2_400.00nm_90.0-21.0C,,100 mM CaCl2_400.00nm_21.0-90.0C,,100 mM CaCl2_400.00nm_90.0-21.0C_R1,,100 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),,2023-11-24 09:51:53 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.271963582849153,21,0.290952563665959,90,0.340994827256984,21,0.326504380097933,90,0.256162206643472,21,0.250479871217197,90,0.307853488679241,21,0.277009679052826,90,0.281273149831181,21,0.250898558725774,90,0.313673472498632,21,0.274765942879067,90,0.328520421768481,21,0.290232771445638,90,0.351264124853224,21,0.312040119247184,90,0.0765811204180615,21,0.0251569573187227,90,0.0245192802338959,21,0.0243676709977718,90,0.0669122163250827,21,0.0170271509249849,90,0.00753283315099143,21,0.0073463244685575,90,0.0622664488719485,21,0.0207505988466308,90,0.0103588482250277,21,0.00964329355102461,90,0.0816075120978517,21,0.0462946589599539,90,0.0380347433650436,21,0.0370663355755372
,89,0.290648364064117,22,0.290980279632932,89,0.341698889390273,22,0.326521399137028,89,0.259233279964632,22,0.250687527182696,89,0.310556736396497,22,0.276768681354956,89,0.279804871605742,22,0.251440499077786,89,0.315220032174729,22,0.274629497403425,89,0.327559622251222,22,0.290138346654473,89,0.35275976520647,22,0.311928482893592,89,0.0598641010617411,22,0.0251345973652806,89,0.0245661437531781,22,0.0243763151651712,89,0.0584761733399756,22,0.0170867335367648,89,0.007910943974855,22,0.00730291776521472,89,0.0563745410222948,22,0.0209251936010825,89,0.0101530574170108,22,0.00962151609809538,89,0.0758871098708229,22,0.0462256925610026,89,0.0377513235567998,22,0.0370706593582506
,88,0.300375965268747,23,0.291238819318713,88,0.341910002044726,23,0.326678152778403,88,0.262842592440873,23,0.250661962374603,88,0.311201870938377,23,0.277100830053317,88,0.280017381861128,23,0.251699750051127,88,0.315689894775207,23,0.274798173217236,88,0.328721543081933,23,0.290390595115884,88,0.353314480374509,23,0.312163673536076,88,0.0499184636010162,23,0.0251391969286321,88,0.0245321790310951,23,0.0243678325512735,88,0.0517303557181521,23,0.0170332167471092,88,0.00790294476223501,23,0.00729578610991331,88,0.0515143536484814,23,0.020969831886171,88,0.0100108467870318,23,0.00962626808510093,88,0.0711337796417633,23,0.0462400512886348,88,0.0375438572117953,23,0.0370832579605479
,87,0.306804257296844,24,0.291951861048858,87,0.342017073661512,24,0.327039649069606,87,0.266951913464817,24,0.250729788063496,87,0.310698791462877,24,0.27807909574342,87,0.279483235584395,24,0.25190050423556,87,0.315972058291797,24,0.275183817090315,87,0.32833845724072,24,0.290993788677717,87,0.353639559252414,24,0.313004312658842,87,0.0424674095005415,24,0.0250995798191376,87,0.0245474559701676,24,0.024366257697079,87,0.0462333193203408,24,0.016888680633322,87,0.00746098877185421,24,0.00732081869641917,87,0.0469834648502261,24,0.0208728195804575,87,0.00994095029347342,24,0.00964933555133515,87,0.0670603210583833,24,0.0462395326637328,87,0.0374497216824825,24,0.0370994063936621
