CSV Report,2024-01-31_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),,2024-01-31 08:14:50 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.749518787906815,21,0.37725711955647,90,0.799761495067005,21,0.391828175647682,90,0.735756799797466,21,0.35966595644612,90,0.781823365139584,21,0.36157256225697,90,0.731038915640926,21,0.364233087013717,90,0.766189436487898,21,0.362248233582756,90,0.585008792473502,21,0.373021371389603,90,0.617123299747846,21,0.386343552761323,90,0.0249148774920489,21,0.0245938679160171,90,0.024740352760841,21,0.0245327975334817,90,0.00638196356784221,21,0.0062824850262286,90,0.00639628797764968,21,0.00633490743677106,90,0.0081890957359536,21,0.0082697593431709,90,0.0083678714672972,21,0.00824825270049461,90,0.0254638048023437,21,0.0254765654980902,90,0.0254339473220942,21,0.0254145114349089
,89,0.7574186456725,22,0.377904966276383,89,0.798436479093278,22,0.392298116171997,89,0.740419161546389,22,0.360184295556199,89,0.780422541046456,22,0.362101388427889,89,0.733806643101437,22,0.364840713373606,89,0.765865197961772,22,0.362723107458035,89,0.589012115683537,22,0.373503835471618,89,0.617358992261352,22,0.38673456895857,89,0.0248802116623423,22,0.024603422345974,89,0.0247323402966574,22,0.0245055458549235,89,0.00635704578448161,22,0.00624852941960424,89,0.0063890783996455,22,0.00632039881965716,89,0.00817303708321124,22,0.00826431986664411,89,0.00835365264834987,22,0.00821622864262502,89,0.0254472659947777,22,0.0254715589062038,89,0.0254271381764983,22,0.0253884433982281
,88,0.75706967215682,23,0.379650608111825,88,0.793191406132296,23,0.394064295315734,88,0.742277527789096,23,0.361825643105133,88,0.773724100726317,23,0.363791473747389,88,0.733388755063526,23,0.366474655428926,88,0.762185313569332,23,0.364372150779007,88,0.589448008442007,23,0.374764449171917,88,0.615188567756933,23,0.387940268615061,88,0.0248719755053011,23,0.0245907590369182,88,0.0247286702271002,23,0.0244800629832225,88,0.00637001259177231,23,0.00624340810444964,88,0.00639059808899217,23,0.00629739032255599,88,0.0081718935023877,23,0.00823853588126604,88,0.00832609741921598,23,0.00818352150579266,88,0.0254737457240235,23,0.025466051632264,88,0.0254304240389529,23,0.0253777398629009
,87,0.75318042800032,24,0.382981613231324,87,0.786954025096074,24,0.397396092855623,87,0.739991846642444,24,0.365471798664559,87,0.765220041917021,24,0.366953002702033,87,0.729507157618034,24,0.369927079395407,87,0.750734573832355,24,0.367450483089832,87,0.588169941463112,24,0.377102779840953,87,0.612135975023411,24,0.390212399776276,87,0.0248569576901733,24,0.0245901006088189,87,0.0247138692560015,24,0.0244841517740482,87,0.00636794084883601,24,0.00623044290654517,87,0.0064084409033087,24,0.00629798399667945,87,0.00816983619297625,24,0.00823858142671724,87,0.00831251625172809,24,0.00818583454560565,87,0.02545438560661,24,0.0254787765505792,87,0.0254196343990983,24,0.0253829554985953
