CSV Report,2024-02-01_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),,2024-02-01 10:19:00 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.661329588761231,21,0.342103479762832,90,0.699509302340412,21,0.352057888494769,90,0.685864290883542,21,0.331197698817095,90,0.725097341817826,21,0.343782930202106,90,0.71100492253539,21,0.350208993829346,90,0.753611319716809,21,0.362895115650216,90,0.740436217544834,21,0.377111361681989,90,0.788772370463969,21,0.391917298285649,90,0.0242394946092314,21,0.0241277997785166,90,0.0242912471149515,21,0.024001961581181,90,0.00561129280974736,21,0.00554646567640744,90,0.00573551262279496,21,0.00558821703978185,90,0.00767519159489186,21,0.00789133712909711,90,0.00793335570521044,21,0.00782641343426873,90,0.0258605458723065,21,0.0260348555307176,90,0.0259020532870892,21,0.0259108158903569
,89,0.669913960079407,22,0.342649418755213,89,0.698114082083314,22,0.352392392434099,89,0.6928949495823,22,0.331736371593745,89,0.723630315491023,22,0.34391877168747,89,0.714894520228686,22,0.35074714194689,89,0.753338817040175,22,0.36322203473741,89,0.745021684839173,22,0.377653609114182,89,0.788613715431203,22,0.392482853245312,89,0.0243499631812197,22,0.0241032331554778,89,0.0242281519151535,22,0.0240142756940097,89,0.00563521397675976,22,0.00551936780165536,89,0.00570521383983497,22,0.00558630007847087,89,0.00772702637304846,22,0.00786461826482311,89,0.00791384866126971,22,0.00783275990654515,89,0.0259155392848899,22,0.0260025264148219,89,0.0258494354295026,22,0.0259375382107544
,88,0.668835898319479,23,0.344037625738198,88,0.693149341815549,23,0.353762149381988,88,0.693567210354675,23,0.333309577222158,88,0.71861360545151,23,0.345766548725331,88,0.714626060860797,23,0.352311639799809,88,0.749011594485164,23,0.364739696730963,88,0.74469948576182,23,0.379159964269251,88,0.783792922577662,23,0.394059705822507,88,0.0243140658950839,23,0.0240840740476124,88,0.0242460506089883,23,0.0240073560154504,88,0.00563013701762398,23,0.00552122861286964,88,0.00569850991906268,23,0.00559467768264565,88,0.00770773247100712,23,0.00782899363309896,88,0.0078982108719545,23,0.00783481878533576,88,0.0258919260506665,23,0.0259914135845215,88,0.025893672320065,23,0.025947261203377
,87,0.663832008933359,24,0.346677936730877,87,0.687045350221158,24,0.356396905894707,87,0.689066402736776,24,0.33640444533805,87,0.712280273927467,24,0.349505875180938,87,0.712292040935883,24,0.355406113912036,87,0.743645010028416,24,0.367784894021296,87,0.74085348021023,24,0.382337818946128,87,0.777146300753267,24,0.39718196049848,87,0.0242761740391983,24,0.0240757804494857,87,0.0242572974518429,24,0.0240061077948311,87,0.00561237667070465,24,0.00552599248757219,87,0.00571463886238711,24,0.00557520392471971,87,0.00767234199414867,24,0.00779941422478509,87,0.00789960019869389,24,0.00782474476185483,87,0.0258576265127781,24,0.0259685222354224,87,0.0258876046770228,24,0.0259232859432618
