CSV Report,2024-02-16_RNA_melting_CaCl2_KCl_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,1 mM CaCl2_260.00nm_90.0-21.0C,,1 mM CaCl2_260.00nm_21.0-90.0C,,1 mM CaCl2_260.00nm_90.0-21.0C_R1,,1 mM CaCl2_260.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_260.00nm_90.0-21.0C,,0.1 mM CaCl2_260.00nm_21.0-90.0C,,0.1 mM CaCl2_260.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,,1 mM CaCl2_400.00nm_90.0-21.0C,,1 mM CaCl2_400.00nm_21.0-90.0C,,1 mM CaCl2_400.00nm_90.0-21.0C_R1,,1 mM CaCl2_400.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_400.00nm_90.0-21.0C,,0.1 mM CaCl2_400.00nm_21.0-90.0C,,0.1 mM CaCl2_400.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),,2024-02-16 09:31:22 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.279307827207103,21,0.253558670772361,90,0.312773488828264,21,0.272390803206853,90,0.289842690394829,21,0.255119550494219,90,0.313068583954882,21,0.268142148074987,90,0.321110175083859,21,0.265357082969599,90,0.333285825620954,21,0.279131392319584,90,0.362525593101196,21,0.296572279224273,90,0.364838724790512,21,0.297843893786269,90,0.0851798593954235,21,0.0360639672866177,90,0.0259221364779443,21,0.0246088066726563,90,0.0547405577519796,21,0.011964814711542,90,0.00668691156744024,21,0.00689168635872133,90,0.00542789866975382,21,0.0052678250007091,90,0.00540026582270307,21,0.00592318588744586,90,0.0265692794215433,21,0.0265914035477251,90,0.0264493122985505,21,0.0262307868370314
,89,0.269920983594211,22,0.253027770437992,89,0.31403476500148,22,0.272489074987966,89,0.295548681740398,22,0.255053795682344,89,0.3145001970245,22,0.268098817427856,89,0.321562598225926,22,0.26530891203629,89,0.333736098186792,22,0.278875285737766,89,0.362991063319881,22,0.296611408578022,89,0.363886644425884,22,0.297945522418888,89,0.0763817685446859,22,0.0358641828517075,89,0.0253262173347786,22,0.0246101241458656,89,0.0508369793143969,22,0.0119071597833712,89,0.00660915716230588,22,0.00690186000598116,89,0.00543950470112135,22,0.0052399875996803,89,0.00540455046198306,22,0.00587547675017825,89,0.0265621474457038,22,0.026556076908311,89,0.0264448886898615,22,0.026245492645942
,88,0.274248408605851,23,0.253094417574386,88,0.314672912793726,23,0.272788806745487,88,0.295516237909025,23,0.255274240742142,88,0.315582467279546,23,0.268420245870199,88,0.321989475074488,23,0.265533359877132,88,0.333745202256204,23,0.279053723658202,88,0.363231363814648,23,0.296823139380186,88,0.363029422143294,23,0.298146352501729,88,0.0732823237660303,23,0.0358895078237055,88,0.0250677951471678,23,0.0246351489160066,88,0.0465617624708709,23,0.0118970050838561,88,0.00660559395809473,23,0.00691307522827762,88,0.00543064738249062,23,0.00524024049254285,88,0.0054215270555981,23,0.00589359235186388,88,0.0265531152210242,23,0.0265598556163635,88,0.0257450097670421,23,0.0262595204793233
,87,0.277117606849553,24,0.253786824681074,87,0.314925000700414,24,0.273380678950855,87,0.295260935808339,24,0.255856887480456,87,0.316211302127123,24,0.269020403747846,87,0.322268341580143,24,0.266048401597989,87,0.333566006732969,24,0.279735019492064,87,0.363253156850242,24,0.297254108603069,87,0.361939739699708,24,0.298537580707144,87,0.070364886685796,24,0.0359520424386855,87,0.0249180723521755,24,0.0246308200641904,87,0.0433999316662693,24,0.0119179183695789,87,0.00659644301651752,24,0.00692727295167015,87,0.00546177640679161,24,0.00524441465963663,87,0.00539584553183456,24,0.00591145327112373,87,0.026522533462479,24,0.0265370601182579,87,0.0252133826752652,24,0.0262565194805817
,86,0.276785748839107,25,0.254630908600641,86,0.314899748585294,25,0.274104449971313,86,0.294777822843064,25,0.256432335818614,86,0.316230116063012,25,0.269674526306304,86,0.322065278523055,25,0.266568393997248,86,0.333171745579777,25,0.280840856495466,86,0.362898502333584,25,0.297662350574036,86,0.361267803099655,25,0.299001884434105,86,0.0666881673731698,25,0.036018038423746,86,0.0247759780165316,25,0.0246387275369976,86,0.040640913562904,25,0.0119469283669505,86,0.00657404398694246,25,0.00692176739984944,86,0.00545136653110369,25,0.00523034687530196,86,0.00537758543757808,25,0.00591285783202899,86,0.0265189460942612,25,0.0265275688727994,86,0.0252032007382966,25,0.026247375078374
,85,0.275944149907292,26,0.255338661170894,85,0.31493642963555,26,0.274682954627725,85,0.294345035095185,26,0.256882740054168,85,0.31616462236844,26,0.270275748876722,85,0.321606415023144,26,0.267059164535835,85,0.332817118287101,26,0.281792306513117,85,0.362163755473972,26,0.298076509994129,85,0.360770603376279,26,0.299439825358477,85,0.0634749652528743,26,0.0360468745757521,85,0.024676140501576,26,0.0246394289510202,85,0.0382949529195412,26,0.0119601966324826,85,0.00657803658881132,26,0.00694794281839183,85,0.0054143564903464,26,0.00518791655736601,85,0.00536980406714328,26,0.0059052176483034,85,0.0265272007916012,26,0.0265211661474171,85,0.025203408426201,26,0.0262346785355749
,84,0.275683323501087,27,0.255964991142675,84,0.314950639034544,27,0.275283482372813,84,0.293293774072189,27,0.257210748959903,84,0.316107622254837,27,0.270833041065535,84,0.321112257688038,27,0.267518168924209,84,0.332437565037119,27,0.28262279927077,84,0.361489045228301,27,0.298539605755472,84,0.359922712601881,27,0.299930927161049,84,0.0610174859547902,27,0.0361196041459724,84,0.0246061991704166,27,0.0246462737117247,84,0.0362854065621677,27,0.0119686026399489,84,0.00657660128144544,27,0.00694499084634238,84,0.00544118552305429,27,0.00519275074561813,84,0.00532928844653592,27,0.00588881655687507,84,0.0265298040120806,27,0.0265204974506398,84,0.0251649345546127,27,0.026229505210854
,83,0.275467611379104,28,0.255645381197611,83,0.314887329170408,28,0.275847009137183,83,0.29252187049952,28,0.257540655180084,83,0.315954436933473,28,0.271448894531212,83,0.320809263067751,28,0.26793239671033,83,0.331956870708619,28,0.283081303994703,83,0.360832249546118,28,0.299032546316158,83,0.358858171296139,28,0.300502134170684,83,0.0589316385545548,28,0.0360367800713086,83,0.0245687834323385,28,0.0246525581659987,83,0.0346774688037939,28,0.0119741572407316,83,0.00656026274067419,28,0.00693249482195085,83,0.0054507250186857,28,0.00521846950231355,83,0.00531889626887964,28,0.00590456933001507,83,0.0265489430601898,28,0.0265213620386878,83,0.0251476158382757,28,0.0262756148007451
,82,0.275377747985765,29,0.25558927652302,82,0.314796856765456,29,0.276452182615885,82,0.292281244874205,29,0.258080862814731,82,0.315770060774873,29,0.272127837579046,82,0.320485725669261,29,0.26840867795739,82,0.33125083377024,29,0.283434067341104,82,0.360211530501071,29,0.299555463109727,82,0.357867206189858,29,0.301055537707535,82,0.0573210618879944,29,0.0359460924661799,82,0.0245502520191158,29,0.0246695821807002,82,0.0334452295000015,29,0.01198233438775,82,0.0065522538525,29,0.0069459276914851,82,0.00545412812956065,29,0.00523332273250072,82,0.00535328998110887,29,0.00592433121352994,82,0.0265599375370182,29,0.0265257747212447,82,0.0251674178467485,29,0.0263101296166682
