CSV Report,2024-02-20_RNA_melting_MgCl2_Na_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),,2024-02-20 09:32:20 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.320208189352064,21,0.269720071243154,90,0.339297120569625,21,0.287241145973647,90,0.296320436661916,21,0.244340863633781,90,0.309440825136213,21,0.257892687888261,90,0.304716563889427,21,0.249558821835679,90,0.317828603922478,21,0.261073324011949,90,0.367752760055216,21,0.303501666949183,90,0.385439746781047,21,0.316536090359586,90,0.0218980246440078,21,0.0215639787571616,90,0.0217622158014174,21,0.0215274940412405,90,0.00438318342837077,21,0.00400629087568505,90,0.00433556917226198,21,0.00408823410244231,90,0.00378523306872472,21,0.00364266992926183,90,0.00381673736157577,21,0.00360786579813168,90,0.0227355449877538,21,0.0225624529049857,90,0.0226901829768369,21,0.0225609447215888
,89,0.321830271186653,22,0.269712178343133,89,0.340154512150458,22,0.287217597735931,89,0.297250964125118,22,0.244414990433151,89,0.310490655613043,22,0.257912953383971,89,0.305653888156274,22,0.249595423106418,89,0.318071389451267,22,0.261064111031382,89,0.368764783748182,22,0.303571648855074,89,0.385921435916135,22,0.316573390313993,89,0.0219313330516812,22,0.0215391825213083,89,0.021799349284947,22,0.0214736150150825,89,0.00436281060293554,22,0.00401321818003551,89,0.0043343223363816,22,0.00406683844210396,89,0.00381152938845396,22,0.00363867624598855,89,0.00379344122325749,22,0.00355334154951509,89,0.0227468989799361,22,0.0225641275291248,89,0.0227204827504219,22,0.0225288073613995
,88,0.32212066726321,23,0.269916866223663,88,0.340368044279779,23,0.287448912899256,88,0.297878048274812,23,0.244650082294068,88,0.311187283057156,23,0.258140548362261,88,0.305935236314176,23,0.249771447607726,88,0.318172845140004,23,0.261255755732198,88,0.368663384714879,23,0.303760401673715,88,0.385835885142772,23,0.316750777678888,88,0.021927577077374,23,0.0215294919492125,88,0.0217548478314502,23,0.0214861458997752,88,0.00435406687001551,23,0.00401628923026433,88,0.00433203780999793,23,0.00407326661813808,88,0.00383723685501065,23,0.0036417383429655,88,0.00377330066808735,23,0.00355282723819049,88,0.022749362674437,23,0.0225592953664242,88,0.0227021055416604,23,0.02252554937624
,87,0.322069611877019,24,0.270383057315348,87,0.340199300502451,24,0.288008242492914,87,0.29786850167536,24,0.245034075322973,87,0.311159395374071,24,0.258577886341714,87,0.305648756719841,24,0.250079094915998,87,0.318175705440285,24,0.261675667193567,87,0.368838112050095,24,0.304148507409796,87,0.385539257250564,24,0.31716132096333,87,0.0218973939902444,24,0.0215107844660848,87,0.0218152425854045,24,0.0214392122468433,87,0.00434459888194954,24,0.00400454513803945,87,0.00434059674273876,24,0.00406679926980987,87,0.0038794226052929,24,0.00362172473292876,87,0.00379296085932321,24,0.00355043153437788,87,0.0227368385297716,24,0.0225332951874026,87,0.0227425436261914,24,0.0225265225091876
