CSV Report,2024-02-22_RNA_melting_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,0 mM NaCl_260.00nm_90.0-21.0C,,0 mM NaCl_260.00nm_21.0-90.0C,,0 mM NaCl_260.00nm_90.0-21.0C_R1,,0 mM NaCl_260.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_260.00nm_90.0-21.0C,,0 mM KCl_EDTA_260.00nm_21.0-90.0C,,0 mM KCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,0 mM NaCl_400.00nm_90.0-21.0C,,0 mM NaCl_400.00nm_21.0-90.0C,,0 mM NaCl_400.00nm_90.0-21.0C_R1,,0 mM NaCl_400.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_400.00nm_90.0-21.0C,,0 mM KCl_EDTA_400.00nm_21.0-90.0C,,0 mM KCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),,2024-02-22 11:53:26 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.305414058832891,21,0.305263172023207,90,0.370697883796961,21,0.349540708997824,90,0.344771545291957,21,0.288540070037221,90,0.361104776580068,21,0.299532078329702,90,0.86788612039968,21,0.415110038394916,90,0.921454533645194,21,0.431962933276962,90,0.848706796705573,21,0.407210658690069,90,0.901223608854991,21,0.422017726197733,90,0.0626060383535832,21,0.0273673595746287,90,0.0274790791918441,21,0.0272377154595686,90,0.00669210182447277,21,0.006636929297748,90,0.00668662379478169,21,0.00660645684628235,90,0.00669416224520749,21,0.00668075252418188,90,0.00689381681360242,21,0.00670116401021145,90,0.0259393035004778,21,0.0260340090254864,90,0.0258553418687853,21,0.0259364178200127
,89,0.322182780700524,22,0.305308025095711,89,0.371869596912302,22,0.349625477003097,89,0.34534497804468,22,0.288778415706875,89,0.362095988593778,22,0.299691628416928,89,0.872021710208612,22,0.415745822057207,89,0.921613500827115,22,0.432581972286873,89,0.855843207341931,22,0.407794195603892,89,0.900940972400984,22,0.422597102023839,89,0.0465752477617419,22,0.0273787661319011,89,0.0274621665944715,22,0.0272141606221265,89,0.00667143885210243,22,0.00662116364675598,89,0.00665576450522944,22,0.00659025290883898,89,0.00670216432024307,22,0.00669444166608431,89,0.00687017950663076,22,0.00670117706119821,89,0.0259621777207362,22,0.0260384231127098,89,0.0258583762212824,22,0.025928855770489
,88,0.329763828303117,23,0.305664966912187,88,0.372513449564596,23,0.349868377560175,88,0.345812891416031,23,0.289408372019831,88,0.362561393687418,23,0.300219821571376,88,0.869891066686998,23,0.41798602888806,88,0.916353902688923,23,0.434663064333448,88,0.855922483384292,23,0.409971365857689,88,0.895603546917977,23,0.424421997814883,88,0.0381372732809696,23,0.0273821723430974,88,0.027475041766953,23,0.0272356162049608,88,0.00665209419994299,23,0.00662798482327723,88,0.00666499336434797,23,0.00661675132268566,88,0.00667725936932622,23,0.00670482360114274,88,0.00686584945160741,23,0.00672267540683969,88,0.0259251967274628,23,0.0260353968430652,88,0.0258466892907473,23,0.025935906897134
,87,0.334056557509327,24,0.306276777451797,87,0.372996348867122,24,0.350448662338718,87,0.346055337625644,24,0.290544387106561,87,0.362562756962553,24,0.301262291407794,87,0.866371348688517,24,0.422340927521303,87,0.908595900921915,24,0.438886061996243,87,0.852841013057625,24,0.413970592097141,87,0.888353656883941,24,0.428338603891548,87,0.0336667774999024,24,0.0273633455591872,87,0.0274474862464282,24,0.0272459277849177,87,0.00663656926333715,24,0.00663756474461943,87,0.00664820461855179,24,0.00661949552995551,87,0.00668430730324439,24,0.00670867769659849,87,0.00685307588938077,24,0.00669900276787676,87,0.025898604383285,24,0.0260333134599438,87,0.0258305248124419,24,0.0259160566851983
