CSV Report,2024-02-23_RNA_melting_CaCl2_KCl_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:48 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),,2024-02-23 10:04:49 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.348241179615824,21,0.353719166969447,90,0.445604108680411,21,0.396339757393399,90,0.349078185040289,21,0.320093244800377,90,0.416293783951262,21,0.356142769245916,90,0.380338643513009,21,0.345531260775814,90,0.43390447859899,21,0.380772028951241,90,0.462812379239753,21,0.379187042752091,90,0.453546005079281,21,0.394115316832669,90,0.119624814303458,21,0.0503502120067486,90,0.0279472709575553,21,0.0268217003171615,90,0.0994272651564731,21,0.0307784119147018,90,0.00867809109007888,21,0.0062493186342428,90,0.101315923372774,21,0.0294825365551609,90,0.0104843292883849,21,0.00664347924576292,90,0.0832117473570363,21,0.0329080318380177,90,0.02520046916705,21,0.0247772662214829
,89,0.345349822190507,22,0.35333820978384,89,0.447906392750962,22,0.39651573308033,89,0.347050794255466,22,0.318559799695093,89,0.419139788096864,22,0.354673987509402,89,0.378003344220093,22,0.345059435704905,89,0.436722561286162,22,0.380890380245434,89,0.455733951994047,22,0.379001914963028,89,0.454768263829419,22,0.394218490456862,89,0.108542262565774,22,0.0501345574349968,89,0.0274076295890922,22,0.0268278674295562,89,0.0927467853446541,22,0.0299923419800629,89,0.00775267406852223,22,0.00626507017107428,89,0.0963641114157384,22,0.0293203478638045,89,0.00916008272881569,22,0.00664423818049869,89,0.0803770823508507,22,0.0328485761222417,89,0.0248882245040713,22,0.0247834524542026
,88,0.351699699339169,23,0.353245978259206,88,0.448779238030221,23,0.397080830524182,88,0.34731054908633,23,0.318858842864132,88,0.420734858365049,23,0.354195702306828,88,0.374911485316401,23,0.34550764600708,88,0.438834990217109,23,0.381358546879114,88,0.45274865246348,23,0.379427064088675,88,0.455711560441801,23,0.394666445970922,88,0.103228434743874,23,0.0499812902002549,88,0.0271887441298412,23,0.0268567860557648,88,0.0859772238179341,23,0.0300346589312485,88,0.00727158382636825,23,0.00628555787936024,88,0.0897767103811065,23,0.0293808820718614,88,0.00843199922775138,23,0.00664087881653733,88,0.0774521353077301,23,0.032851883553466,88,0.0248152888664893,23,0.0247965018919729
,87,0.356540415224655,24,0.353831505732324,87,0.449006204157242,24,0.397895171913848,87,0.349113886269815,24,0.320969321597068,87,0.421035410913319,24,0.354722783697883,87,0.374305720348915,24,0.346591514716192,87,0.440065902218019,24,0.38232469579749,87,0.449228933966759,24,0.380735208331115,87,0.456464952427808,24,0.395572731022341,87,0.0972116278929372,24,0.0500602245115804,87,0.0270864558465747,24,0.0268355225966498,87,0.0804731124825213,24,0.030748882660647,87,0.00699618125743777,24,0.00634347322983438,87,0.0846411479089128,24,0.0294681744158336,87,0.00805906446956828,24,0.00662294136697161,87,0.0747106482749158,24,0.0329553607010923,87,0.0248135837227812,24,0.02480070541106
