Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
1,100 mM KCl,260.0,90.0,21.0,1,Cooling,289,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),100.0,mM
2,100 mM KCl,260.0,21.0,90.0,1,Heating,290,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),100.0,mM
3,100 mM KCl,260.0,90.0,21.0,2,Cooling,291,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),100.0,mM
4,100 mM KCl,260.0,21.0,90.0,2,Heating,292,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),100.0,mM
5,50 mM KCl,260.0,90.0,21.0,1,Cooling,293,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),50.0,mM
6,50 mM KCl,260.0,21.0,90.0,1,Heating,294,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),50.0,mM
7,50 mM KCl,260.0,90.0,21.0,2,Cooling,295,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),50.0,mM
8,50 mM KCl,260.0,21.0,90.0,2,Heating,296,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),50.0,mM
9,25 mM KCl,260.0,90.0,21.0,1,Cooling,297,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),25.0,mM
10,25 mM KCl,260.0,21.0,90.0,1,Heating,298,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),25.0,mM
11,25 mM KCl,260.0,90.0,21.0,2,Cooling,299,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),25.0,mM
12,25 mM KCl,260.0,21.0,90.0,2,Heating,300,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),25.0,mM
13,10 mM KCl,260.0,90.0,21.0,1,Cooling,301,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
14,10 mM KCl,260.0,21.0,90.0,1,Heating,302,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
15,10 mM KCl,260.0,90.0,21.0,2,Cooling,303,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
16,10 mM KCl,260.0,21.0,90.0,2,Heating,304,2023-09-19_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
1,500 mM KCl,260.0,90.0,21.0,1,Cooling,321,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),500.0,mM
2,500 mM KCl,260.0,21.0,90.0,1,Heating,322,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),500.0,mM
3,500 mM KCl,260.0,90.0,21.0,2,Cooling,323,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),500.0,mM
4,500 mM KCl,260.0,21.0,90.0,2,Heating,324,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),500.0,mM
5,5 mM KCl,260.0,90.0,21.0,1,Cooling,325,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
6,5 mM KCl,260.0,21.0,90.0,1,Heating,326,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
7,5 mM KCl,260.0,90.0,21.0,2,Cooling,327,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
8,5 mM KCl,260.0,21.0,90.0,2,Heating,328,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
9,1 mM KCl,260.0,90.0,21.0,1,Cooling,329,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
10,1 mM KCl,260.0,21.0,90.0,1,Heating,330,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
11,1 mM KCl,260.0,90.0,21.0,2,Cooling,331,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
12,1 mM KCl,260.0,21.0,90.0,2,Heating,332,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
13,0.1 mM KCl,260.0,90.0,21.0,1,Cooling,333,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),0.1,mM
14,0.1 mM KCl,260.0,21.0,90.0,1,Heating,334,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),0.1,mM
15,0.1 mM KCl,260.0,90.0,21.0,2,Cooling,335,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),0.1,mM
16,0.1 mM KCl,260.0,21.0,90.0,2,Heating,336,2023-09-20_RNA_melting_KCl.csv,RNA,16.0,20.0,K(I),0.1,mM
1,4.15 mM KCl,260.0,90.0,21.0,1,Cooling,353,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
2,4.15 mM KCl,260.0,21.0,90.0,1,Heating,354,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
3,4.15 mM KCl,260.0,90.0,21.0,2,Cooling,355,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
4,4.15 mM KCl,260.0,21.0,90.0,2,Heating,356,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
5,1.66 mM KCl,260.0,90.0,21.0,1,Cooling,357,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
6,1.66 mM KCl,260.0,21.0,90.0,1,Heating,358,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
7,1.66 mM KCl,260.0,90.0,21.0,2,Cooling,359,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
8,1.66 mM KCl,260.0,21.0,90.0,2,Heating,360,2023-09-21_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
