	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	Sample	bg in mM	[Buffer] in mM	Divalent Ion	Monovalent Ion	gi	file_name	Concentration	Concentration Unit	Ion	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS
0	1	5 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	1	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
1	2	5 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	2	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
2	3	5 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	3	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
3	4	5 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	4	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
4	5	1 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	5	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
5	6	1 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	6	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
6	7	1 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	7	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
7	8	1 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	8	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
8	9	0.1 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	9	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
9	10	0.1 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	10	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
10	11	0.1 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	11	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
11	12	0.1 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	12	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
12	13	0 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	13	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
13	14	0 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	14	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
14	15	0 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	15	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
15	16	0 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	16	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2	336.71999999996126	0.0016569437504176856	36.10999999996716	346.3837757396426	1.5176620165513437	-212764.18196894327	23252.96470674511	0.0010953098692480809	2.1289357264230832e-05	0.019287099838170105	0.006718962156424595	-0.00024107272589784804	0.00031770572431685264	0.4964655392848616	0.11273082897108419	-614.2440751291604	69.82191806419652
16	17	5 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	17	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
17	18	5 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	18	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
18	19	5 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	19	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
19	20	5 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	20	2023-07-26_RNA_melting_MgCl2.csv	5.0	mM	MgCl2																	
20	21	1 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	21	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
21	22	1 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	22	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
22	23	1 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	23	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
23	24	1 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	24	2023-07-26_RNA_melting_MgCl2.csv	1.0	mM	MgCl2																	
24	25	0.1 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	25	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
25	26	0.1 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	26	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
26	27	0.1 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	27	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
27	28	0.1 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	28	2023-07-26_RNA_melting_MgCl2.csv	0.1	mM	MgCl2																	
28	29	0 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	29	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
29	30	0 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	30	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
30	31	0 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	31	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
31	32	0 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	32	2023-07-26_RNA_melting_MgCl2.csv	0.0	mM	MgCl2																	
32	1	5 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	33	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
33	2	5 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	34	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
34	3	5 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	35	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
35	4	5 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	36	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
36	5	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	37	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
37	6	10 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	38	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
38	7	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	39	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
39	8	10 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	40	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
40	9	25 mM CaCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	41	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
41	10	25 mM CaCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	42	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
42	11	25 mM CaCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	43	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
43	12	25 mM CaCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	44	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
44	13	25 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	45	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
45	14	25 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	46	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
46	15	25 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	47	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
47	16	25 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	48	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
48	17	5 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	49	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
49	18	5 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	50	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
50	19	5 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	51	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
51	20	5 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	52	2023-08-04_RNA_melting_VS.csv	5.0	mM	CaCl2																	
52	21	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	53	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
53	22	10 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	54	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
54	23	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	55	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
55	24	10 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	56	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
56	25	25 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	57	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
57	26	25 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	58	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
58	27	25 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	59	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
59	28	25 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	60	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
60	29	25 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	61	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
61	30	25 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	62	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
62	31	25 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	63	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
63	32	25 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	64	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
