Sample 1
6/12/2023 2:04 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	0.15000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	1.495
220.5	1.428
221.0	1.366
221.5	1.304
222.0	1.244
222.5	1.191
223.0	1.142
223.5	1.093
224.0	1.049
224.5	1.011
225.0	0.982
225.5	0.959
226.0	0.940
226.5	0.929
227.0	0.921
227.5	0.916
228.0	0.914
228.5	0.912
229.0	0.913
229.5	0.917
230.0	0.921
230.5	0.927
231.0	0.935
231.5	0.945
232.0	0.957
232.5	0.970
233.0	0.988
233.5	1.010
234.0	1.032
234.5	1.059
235.0	1.088
235.5	1.118
236.0	1.151
236.5	1.185
237.0	1.221
237.5	1.264
238.0	1.312
238.5	1.363
239.0	1.415
239.5	1.466
240.0	1.516
240.5	1.562
241.0	1.603
241.5	1.646
242.0	1.688
242.5	1.734
243.0	1.788
243.5	1.842
244.0	1.896
244.5	1.949
245.0	1.998
245.5	2.046
246.0	2.092
246.5	2.139
247.0	2.186
247.5	2.233
248.0	2.278
248.5	2.326
249.0	2.368
249.5	2.407
250.0	2.443
250.5	2.479
251.0	2.518
251.5	2.556
252.0	2.595
252.5	2.634
253.0	2.669
253.5	2.703
254.0	2.731
254.5	2.754
255.0	2.773
255.5	2.789
256.0	2.798
256.5	2.804
257.0	2.808
257.5	2.808
258.0	2.806
258.5	2.798
259.0	2.791
259.5	2.781
260.0	2.770
260.5	2.758
261.0	2.744
261.5	2.729
262.0	2.713
262.5	2.693
263.0	2.670
263.5	2.642
264.0	2.609
264.5	2.569
265.0	2.524
265.5	2.476
266.0	2.431
266.5	2.387
267.0	2.342
267.5	2.298
268.0	2.250
268.5	2.203
269.0	2.157
269.5	2.112
270.0	2.069
270.5	2.024
271.0	1.980
271.5	1.934
272.0	1.887
272.5	1.841
273.0	1.794
273.5	1.745
274.0	1.698
274.5	1.653
275.0	1.609
275.5	1.560
276.0	1.510
276.5	1.458
277.0	1.407
277.5	1.356
278.0	1.306
278.5	1.256
279.0	1.208
279.5	1.164
280.0	1.120
280.5	1.078
281.0	1.038
281.5	0.997
282.0	0.956
282.5	0.915
283.0	0.876
283.5	0.838
284.0	0.802
284.5	0.769
285.0	0.736
285.5	0.704
286.0	0.672
286.5	0.640
287.0	0.606
287.5	0.572
288.0	0.539
288.5	0.509
289.0	0.481
289.5	0.453
290.0	0.427
290.5	0.400
291.0	0.374
291.5	0.346
292.0	0.320
292.5	0.297
293.0	0.277
293.5	0.258
294.0	0.238
294.5	0.219
295.0	0.202
295.5	0.185
296.0	0.169
296.5	0.156
297.0	0.144
297.5	0.134
298.0	0.124
298.5	0.114
299.0	0.105
299.5	0.097
300.0	0.088
300.5	0.079
301.0	0.071
301.5	0.063
302.0	0.056
302.5	0.049
303.0	0.044
303.5	0.041
304.0	0.037
304.5	0.033
305.0	0.028
305.5	0.025
306.0	0.022
306.5	0.018
307.0	0.015
307.5	0.013
308.0	0.012
308.5	0.011
309.0	0.010
309.5	0.008
310.0	0.007
310.5	0.006
311.0	0.005
311.5	0.004
312.0	0.003
312.5	0.002
313.0	0.001
313.5	0.000
314.0	0.001
314.5	0.000
315.0	0.001
315.5	0.001
316.0	0.001
316.5	0.001
317.0	0.001
317.5	0.001
318.0	0.000
318.5	0.000
319.0	-0.001
319.5	-0.001
320.0	0.000
320.5	0.000
321.0	0.001
321.5	0.000
322.0	0.001
322.5	0.001
323.0	0.001
323.5	-0.001
324.0	-0.001
324.5	0.000
325.0	0.000
325.5	0.002
326.0	0.003
326.5	0.003
327.0	0.002
327.5	0.002
328.0	0.002
328.5	0.001
329.0	0.001
329.5	0.000
330.0	0.001
330.5	0.002
331.0	0.003
331.5	0.005
332.0	0.003
332.5	0.003
333.0	0.003
333.5	0.002
334.0	0.002
334.5	0.002
335.0	0.003
335.5	0.004
336.0	0.003
336.5	0.003
337.0	0.002
337.5	0.003
338.0	0.001
338.5	0.002
339.0	0.001
339.5	0.000
340.0	0.000
340.5	0.001
341.0	0.001
341.5	0.002
342.0	0.002
342.5	0.002
343.0	0.001
343.5	0.000
344.0	0.002
344.5	0.002
345.0	0.002
345.5	0.003
346.0	0.004
346.5	0.003
347.0	0.003
347.5	0.004
348.0	0.004
348.5	0.004
349.0	0.003
349.5	0.003
350.0	0.003


Sample 2
6/12/2023 2:05 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	0.15000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	1.091
220.5	1.045
221.0	0.999
221.5	0.954
222.0	0.911
222.5	0.871
223.0	0.838
223.5	0.803
224.0	0.773
224.5	0.742
225.0	0.719
225.5	0.703
226.0	0.689
226.5	0.679
227.0	0.672
227.5	0.667
228.0	0.665
228.5	0.665
229.0	0.665
229.5	0.668
230.0	0.671
230.5	0.674
231.0	0.680
231.5	0.686
232.0	0.694
232.5	0.704
233.0	0.716
233.5	0.731
234.0	0.749
234.5	0.768
235.0	0.788
235.5	0.810
236.0	0.832
236.5	0.855
237.0	0.881
237.5	0.911
238.0	0.945
238.5	0.981
239.0	1.019
239.5	1.056
240.0	1.092
240.5	1.124
241.0	1.154
241.5	1.183
242.0	1.215
242.5	1.248
243.0	1.288
243.5	1.326
244.0	1.366
244.5	1.404
245.0	1.440
245.5	1.475
246.0	1.508
246.5	1.542
247.0	1.576
247.5	1.609
248.0	1.642
248.5	1.676
249.0	1.706
249.5	1.733
250.0	1.760
250.5	1.785
251.0	1.813
251.5	1.840
252.0	1.868
252.5	1.895
253.0	1.920
253.5	1.945
254.0	1.966
254.5	1.981
255.0	1.995
255.5	2.005
256.0	2.011
256.5	2.015
257.0	2.017
257.5	2.018
258.0	2.015
258.5	2.009
259.0	2.004
259.5	1.997
260.0	1.990
260.5	1.982
261.0	1.971
261.5	1.961
262.0	1.949
262.5	1.935
263.0	1.917
263.5	1.898
264.0	1.874
264.5	1.845
265.0	1.811
265.5	1.777
266.0	1.746
266.5	1.714
267.0	1.682
267.5	1.649
268.0	1.615
268.5	1.580
269.0	1.547
269.5	1.514
270.0	1.485
270.5	1.454
271.0	1.422
271.5	1.391
272.0	1.358
272.5	1.325
273.0	1.291
273.5	1.258
274.0	1.225
274.5	1.192
275.0	1.159
275.5	1.125
276.0	1.088
276.5	1.052
277.0	1.016
277.5	0.979
278.0	0.943
278.5	0.908
279.0	0.872
279.5	0.840
280.0	0.808
280.5	0.778
281.0	0.749
281.5	0.718
282.0	0.690
282.5	0.661
283.0	0.634
283.5	0.607
284.0	0.582
284.5	0.557
285.0	0.533
285.5	0.510
286.0	0.487
286.5	0.464
287.0	0.440
287.5	0.416
288.0	0.393
288.5	0.371
289.0	0.351
289.5	0.330
290.0	0.312
290.5	0.292
291.0	0.273
291.5	0.253
292.0	0.235
292.5	0.218
293.0	0.204
293.5	0.190
294.0	0.177
294.5	0.163
295.0	0.149
295.5	0.137
296.0	0.125
296.5	0.115
297.0	0.107
297.5	0.098
298.0	0.091
298.5	0.084
299.0	0.078
299.5	0.072
300.0	0.066
300.5	0.060
301.0	0.054
301.5	0.048
302.0	0.043
302.5	0.038
303.0	0.034
303.5	0.031
304.0	0.029
304.5	0.026
305.0	0.024
305.5	0.020
306.0	0.018
306.5	0.015
307.0	0.012
307.5	0.010
308.0	0.009
308.5	0.008
309.0	0.008
309.5	0.006
310.0	0.005
310.5	0.004
311.0	0.004
311.5	0.004
312.0	0.003
312.5	0.003
313.0	0.003
313.5	0.002
314.0	0.001
314.5	0.000
315.0	0.000
315.5	0.001
316.0	0.001
316.5	0.000
317.0	0.000
317.5	0.001
318.0	0.001
318.5	0.001
319.0	0.000
319.5	-0.001
320.0	-0.001
