Wavelength(nm)	H2O 1(Abs)	H2O 2(Abs)	H2O 3(Abs)	F_20_uM 1(Abs)	F_20_uM 2(Abs)	F_20_uM 3(Abs)	F_20_uM 4(Abs)	F_17_uM 1(Abs)	F_17_uM 2(Abs)	F_17_uM 3(Abs)	F_17_uM 4(Abs)	F_10_uM 1(Abs)	F_10_uM 2(Abs)	F_10_uM 3(Abs)	F_10_uM 4(Abs)	F_8_uM 1(Abs)	F_8_uM 2(Abs)	F_8_uM 3(Abs)	F_8_uM 4(Abs)	F_2_uM 1(Abs)	F_2_uM 2(Abs)	F_2_uM 3(Abs)	F_2_uM 4(Abs)	F_1_uM 1(Abs)	F_1_uM 2(Abs)	F_1_uM 3(Abs)	F_1_uM 4(Abs)	F_4_uM 1(Abs)	F_4_uM 2(Abs)	F_4_uM 3(Abs)	F_4_uM 4(Abs)	
600.0	-0.00121	-0.00003	-0.00025	-0.01032	-0.01046	-0.01039	-0.01067	-0.01070	-0.00915	-0.00973	-0.00989	-0.00997	-0.01002	-0.00859	-0.00946	0.00126	0.00104	0.00088	0.00158	-0.00908	-0.00911	-0.00976	-0.00892	-0.00977	-0.00984	-0.01025	-0.01073	-0.01061	-0.00925	-0.01062	-0.01001	
599.0	0.00105	-0.00007	0.00018	-0.00827	-0.00920	-0.00897	-0.00931	-0.00904	-0.00895	-0.00914	-0.00892	-0.00823	-0.00904	-0.00862	-0.00878	0.00183	0.00177	0.00175	0.00223	-0.00815	-0.00846	-0.00764	-0.00725	-0.00919	-0.00844	-0.00888	-0.00987	-0.00890	-0.00972	-0.00941	-0.00938	
598.0	0.00037	-0.00005	0.00056	-0.01004	-0.01024	-0.00910	-0.00988	-0.00918	-0.00863	-0.00938	-0.00862	-0.00935	-0.00909	-0.00905	-0.00911	0.00229	0.00205	0.00261	0.00158	-0.00741	-0.00802	-0.00771	-0.00776	-0.00925	-0.00881	-0.00931	-0.00920	-0.00945	-0.01001	-0.00930	-0.00946	
597.0	-0.00029	0.00053	-0.00005	-0.00929	-0.00935	-0.00967	-0.00976	-0.00964	-0.00924	-0.00965	-0.00922	-0.00906	-0.00910	-0.00945	-0.00951	0.00163	0.00140	0.00114	0.00139	-0.00887	-0.00832	-0.00823	-0.00865	-0.00968	-0.00976	-0.00873	-0.00962	-0.00937	-0.00948	-0.00943	-0.00934	
596.0	-0.00030	-0.00042	-0.00036	-0.00961	-0.00915	-0.00968	-0.00962	-0.00953	-0.00946	-0.00934	-0.00952	-0.00941	-0.00974	-0.00949	-0.00945	0.00131	0.00082	0.00074	0.00143	-0.00765	-0.00855	-0.00870	-0.00843	-0.00995	-0.00968	-0.00959	-0.00955	-0.01022	-0.00984	-0.01088	-0.00935	
595.0	-0.00097	-0.00047	-0.00094	-0.00979	-0.01035	-0.01039	-0.01033	-0.01081	-0.00997	-0.01012	-0.01020	-0.00872	-0.00900	-0.00984	-0.00893	0.00081	0.00093	0.00075	0.00075	-0.00877	-0.00795	-0.00951	-0.00912	-0.00925	-0.01050	-0.00986	-0.01021	-0.01047	-0.01036	-0.01020	-0.01047	
594.0	-0.00002	-0.00080	-0.00036	-0.00956	-0.00932	-0.01035	-0.00933	-0.00888	-0.00928	-0.00922	-0.00925	-0.00894	-0.00883	-0.00961	-0.00955	0.00160	0.00197	0.00076	0.00153	-0.00763	-0.00742	-0.00757	-0.00796	-0.00842	-0.00882	-0.00935	-0.00944	-0.00948	-0.00956	-0.00966	-0.00967	
593.0	-0.00022	-0.00011	0.00009	-0.00909	-0.00962	-0.00937	-0.00908	-0.00931	-0.00855	-0.00866	-0.00906	-0.00805	-0.00886	-0.00857	-0.00939	0.00138	0.00142	0.00053	0.00169	-0.00853	-0.00848	-0.00933	-0.00828	-0.00949	-0.00938	-0.00927	-0.00920	-0.00932	-0.00928	-0.01020	-0.00980	
592.0	-0.00102	-0.00005	-0.00060	-0.00965	-0.00971	-0.00965	-0.00989	-0.00961	-0.00909	-0.00919	-0.00897	-0.00864	-0.00946	-0.00914	-0.00895	0.00085	0.00115	0.00077	0.00199	-0.00898	-0.00925	-0.00858	-0.00764	-0.01003	-0.00966	-0.00852	-0.00990	-0.01036	-0.00990	-0.01042	-0.00992	
591.0	0.00044	-0.00041	-0.00085	-0.00962	-0.00967	-0.01016	-0.00938	-0.00946	-0.00969	-0.00968	-0.00974	-0.00868	-0.00856	-0.00972	-0.00914	0.00039	0.00122	0.00108	0.00038	-0.00881	-0.00878	-0.00887	-0.00853	-0.01009	-0.00951	-0.00911	-0.00984	-0.00868	-0.00943	-0.01067	-0.00972	
