Wavelength(nm)	F_20_uM 1(Abs)	F_20_uM 2(Abs)	F_20_uM 3(Abs)	F_17_uM 1(Abs)	F_17_uM 2(Abs)	F_17_uM 3(Abs)	F_15_uM 1(Abs)	F_15_uM 2(Abs)	F_15_uM 3(Abs)	F_12_uM 1(Abs)	F_12_uM 2(Abs)	F_12_uM 3(Abs)	F_10_uM 1(Abs)	F_10_uM 2(Abs)	F_10_uM 3(Abs)	F_8_uM 1(Abs)	F_8_uM 2(Abs)	F_8_uM 3(Abs)	F_5_uM 1(Abs)	F_5_uM 2(Abs)	F_5_uM 3(Abs)	F_2,5_uM 1(Abs)	F_2,5_uM 2(Abs)	F_2,5_uM 3(Abs)	F_1_uM 1(Abs)	F_1_uM 2(Abs)	F_1_uM 3(Abs)	F_17_uM 1(Abs)	
600.0	-0.01030	-0.01099	-0.01068	-0.01034	-0.01076	-0.00921	-0.00587	-0.00621	-0.00625	-0.00629	-0.00577	-0.00664	-0.00955	-0.01016	-0.00906	-0.00606	-0.00610	-0.00639	-0.01158	-0.01125	-0.01130	-0.00595	-0.00614	-0.00602	0.00222	0.00330	0.00311	-0.00923	
599.0	-0.01166	-0.01133	-0.01102	-0.01093	-0.01153	-0.01148	-0.00666	-0.00718	-0.00662	-0.00663	-0.00756	-0.00701	-0.01053	-0.01037	-0.01040	-0.00686	-0.00731	-0.00716	-0.01278	-0.01210	-0.01314	-0.00673	-0.00626	-0.00659	0.00184	0.00199	0.00193	-0.01042	
598.0	-0.01038	-0.00968	-0.00996	-0.00919	-0.00998	-0.00962	-0.00623	-0.00548	-0.00572	-0.00622	-0.00570	-0.00574	-0.00875	-0.00909	-0.00877	-0.00549	-0.00525	-0.00542	-0.01148	-0.01120	-0.01101	-0.00582	-0.00575	-0.00524	0.00255	0.00328	0.00306	-0.00859	
597.0	-0.01065	-0.01057	-0.01072	-0.01037	-0.00990	-0.01061	-0.00636	-0.00571	-0.00598	-0.00663	-0.00595	-0.00654	-0.00976	-0.00984	-0.01001	-0.00638	-0.00692	-0.00607	-0.01182	-0.01114	-0.01181	-0.00641	-0.00605	-0.00605	0.00229	0.00200	0.00237	-0.00934	
596.0	-0.01050	-0.01067	-0.01043	-0.00963	-0.01001	-0.00965	-0.00544	-0.00609	-0.00474	-0.00598	-0.00622	-0.00541	-0.00940	-0.00922	-0.00859	-0.00607	-0.00574	-0.00588	-0.01068	-0.01047	-0.01154	-0.00492	-0.00534	-0.00540	0.00370	0.00234	0.00283	-0.00898	
595.0	-0.01007	-0.01032	-0.00998	-0.00901	-0.00977	-0.01007	-0.00567	-0.00507	-0.00632	-0.00578	-0.00630	-0.00632	-0.00927	-0.00960	-0.00917	-0.00575	-0.00595	-0.00595	-0.01106	-0.01140	-0.01164	-0.00513	-0.00483	-0.00571	0.00318	0.00227	0.00297	-0.00878	
594.0	-0.01040	-0.01015	-0.00989	-0.01014	-0.00970	-0.01006	-0.00548	-0.00599	-0.00509	-0.00561	-0.00584	-0.00638	-0.00940	-0.00895	-0.00904	-0.00595	-0.00520	-0.00629	-0.01117	-0.01106	-0.01116	-0.00584	-0.00547	-0.00498	0.00262	0.00348	0.00270	-0.00864	
593.0	-0.01096	-0.01028	-0.01114	-0.01014	-0.01021	-0.01038	-0.00589	-0.00599	-0.00584	-0.00642	-0.00641	-0.00659	-0.00942	-0.01014	-0.00930	-0.00630	-0.00584	-0.00616	-0.01141	-0.01142	-0.01218	-0.00618	-0.00561	-0.00676	0.00264	0.00227	0.00263	-0.00942	
592.0	-0.01078	-0.01008	-0.01057	-0.00914	-0.01021	-0.01023	-0.00641	-0.00610	-0.00602	-0.00602	-0.00596	-0.00618	-0.00974	-0.00896	-0.00859	-0.00601	-0.00554	-0.00652	-0.01161	-0.01103	-0.01117	-0.00580	-0.00468	-0.00569	0.00335	0.00285	0.00295	-0.00925	
591.0	-0.01047	-0.01013	-0.01010	-0.00960	-0.01056	-0.01001	-0.00516	-0.00515	-0.00518	-0.00576	-0.00642	-0.00640	-0.00965	-0.00866	-0.00991	-0.00506	-0.00586	-0.00537	-0.01116	-0.01149	-0.01185	-0.00539	-0.00560	-0.00656	0.00265	0.00252	0.00267	-0.00893	
