KL 1.1 1
2/14/2023 6:45 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.365
220.5	0.348
221.0	0.330
221.5	0.314
222.0	0.298
222.5	0.282
223.0	0.267
223.5	0.252
224.0	0.239
224.5	0.227
225.0	0.217
225.5	0.207
226.0	0.200
226.5	0.194
227.0	0.191
227.5	0.187
228.0	0.186
228.5	0.183
229.0	0.181
229.5	0.179
230.0	0.178
230.5	0.177
231.0	0.176
231.5	0.176
232.0	0.175
232.5	0.173
233.0	0.174
233.5	0.174
234.0	0.174
234.5	0.175
235.0	0.177
235.5	0.179
236.0	0.183
236.5	0.187
237.0	0.192
237.5	0.198
238.0	0.206
238.5	0.214
239.0	0.221
239.5	0.230
240.0	0.239
240.5	0.246
241.0	0.253
241.5	0.260
242.0	0.268
242.5	0.277
243.0	0.285
243.5	0.293
244.0	0.301
244.5	0.310
245.0	0.319
245.5	0.327
246.0	0.336
246.5	0.343
247.0	0.351
247.5	0.358
248.0	0.366
248.5	0.374
249.0	0.381
249.5	0.386
250.0	0.392
250.5	0.399
251.0	0.405
251.5	0.412
252.0	0.420
252.5	0.426
253.0	0.432
253.5	0.434
254.0	0.440
254.5	0.444
255.0	0.448
255.5	0.451
256.0	0.454
256.5	0.456
257.0	0.456
257.5	0.457
258.0	0.456
258.5	0.456
259.0	0.456
259.5	0.454
260.0	0.452
260.5	0.450
261.0	0.448
261.5	0.446
262.0	0.442
262.5	0.440
263.0	0.436
263.5	0.430
264.0	0.424
264.5	0.420
265.0	0.413
265.5	0.405
266.0	0.397
266.5	0.388
267.0	0.380
267.5	0.373
268.0	0.367
268.5	0.361
269.0	0.354
269.5	0.347
270.0	0.341
270.5	0.333
271.0	0.328
271.5	0.321
272.0	0.311
272.5	0.303
273.0	0.297
273.5	0.289
274.0	0.282
274.5	0.275
275.0	0.267
275.5	0.259
276.0	0.252
276.5	0.243
277.0	0.235
277.5	0.226
278.0	0.217
278.5	0.209
279.0	0.201
279.5	0.195
280.0	0.187
280.5	0.178
281.0	0.171
281.5	0.163
282.0	0.157
282.5	0.151
283.0	0.145
283.5	0.138
284.0	0.132
284.5	0.126
285.0	0.121
285.5	0.116
286.0	0.110
286.5	0.104
287.0	0.097
287.5	0.091
288.0	0.087
288.5	0.082
289.0	0.078
289.5	0.074
290.0	0.069
290.5	0.063
291.0	0.059
291.5	0.054
292.0	0.050
292.5	0.047
293.0	0.045
293.5	0.041
294.0	0.039
294.5	0.037
295.0	0.036
295.5	0.034
296.0	0.032
296.5	0.030
297.0	0.029
297.5	0.029
298.0	0.028
298.5	0.026
299.0	0.024
299.5	0.023
300.0	0.020
300.5	0.019
301.0	0.018
301.5	0.017
302.0	0.015
302.5	0.012
303.0	0.011
303.5	0.010
304.0	0.008
304.5	0.007
305.0	0.004
305.5	0.003
306.0	0.004
306.5	0.005
307.0	0.005
307.5	0.004
308.0	0.004
308.5	0.004
309.0	0.004
309.5	0.005
310.0	0.006
310.5	0.006
311.0	0.007
311.5	0.008
312.0	0.008
312.5	0.008
313.0	0.009
313.5	0.009
314.0	0.007
314.5	0.007
315.0	0.006
315.5	0.007
316.0	0.007
316.5	0.007
317.0	0.007
317.5	0.006
318.0	0.005
318.5	0.004
319.0	0.004
319.5	0.004
320.0	0.004
320.5	0.003
321.0	0.004
321.5	0.004
322.0	0.005
322.5	0.006
323.0	0.006
323.5	0.006
324.0	0.005
324.5	0.005
325.0	0.005
325.5	0.005
326.0	0.005
326.5	0.004
327.0	0.003
327.5	0.003
328.0	0.002
328.5	0.003
329.0	0.003
329.5	0.003
330.0	0.003
330.5	0.003
331.0	0.004
331.5	0.003
332.0	0.003
332.5	0.004
333.0	0.004
333.5	0.004
334.0	0.005
334.5	0.006
335.0	0.005
335.5	0.006
336.0	0.006
336.5	0.005
337.0	0.003
337.5	0.001
338.0	0.001
338.5	-0.002
339.0	-0.001
339.5	0.000
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.001
342.0	-0.001
342.5	0.000
343.0	0.000
343.5	0.001
344.0	0.002
344.5	0.001
345.0	0.002
345.5	0.002
346.0	0.003
346.5	0.002
347.0	0.003
347.5	0.002
348.0	0.002
348.5	0.003
349.0	0.003
349.5	0.002
350.0	0.002


KL 1.1 2
2/14/2023 6:45 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.314
220.5	0.300
221.0	0.286
221.5	0.275
222.0	0.261
222.5	0.246
223.0	0.233
223.5	0.220
224.0	0.207
224.5	0.194
225.0	0.182
225.5	0.176
226.0	0.170
226.5	0.166
227.0	0.163
227.5	0.160
228.0	0.158
228.5	0.157
229.0	0.155
229.5	0.153
230.0	0.154
230.5	0.154
231.0	0.153
231.5	0.154
232.0	0.154
232.5	0.156
233.0	0.158
233.5	0.159
234.0	0.160
234.5	0.162
235.0	0.166
235.5	0.168
236.0	0.173
236.5	0.177
237.0	0.184
237.5	0.190
238.0	0.197
238.5	0.205
239.0	0.213
239.5	0.221
240.0	0.230
240.5	0.238
241.0	0.246
241.5	0.253
242.0	0.261
242.5	0.270
243.0	0.279
243.5	0.287
244.0	0.295
244.5	0.304
245.0	0.312
245.5	0.320
246.0	0.329
246.5	0.337
247.0	0.346
247.5	0.353
248.0	0.360
248.5	0.368
249.0	0.375
249.5	0.381
250.0	0.387
250.5	0.393
251.0	0.400
251.5	0.408
252.0	0.414
252.5	0.422
253.0	0.428
253.5	0.433
254.0	0.439
254.5	0.444
255.0	0.448
255.5	0.452
256.0	0.455
256.5	0.456
257.0	0.456
257.5	0.456
258.0	0.455
258.5	0.456
259.0	0.455
259.5	0.454
260.0	0.452
260.5	0.451
261.0	0.449
261.5	0.446
262.0	0.442
262.5	0.439
263.0	0.435
263.5	0.431
264.0	0.426
264.5	0.422
265.0	0.415
265.5	0.408
266.0	0.399
266.5	0.391
267.0	0.382
267.5	0.374
268.0	0.368
268.5	0.361
269.0	0.354
269.5	0.347
270.0	0.341
270.5	0.332
271.0	0.325
271.5	0.317
272.0	0.308
272.5	0.300
273.0	0.294
273.5	0.287
274.0	0.278
274.5	0.273
275.0	0.267
275.5	0.259
276.0	0.251
276.5	0.242
277.0	0.233
277.5	0.224
278.0	0.217
278.5	0.209
279.0	0.202
279.5	0.195
280.0	0.188
280.5	0.180
281.0	0.172
281.5	0.166
282.0	0.158
282.5	0.151
283.0	0.144
283.5	0.137
284.0	0.132
284.5	0.127
285.0	0.122
285.5	0.116
286.0	0.109
286.5	0.103
287.0	0.097
287.5	0.091
288.0	0.086
288.5	0.081
289.0	0.077
289.5	0.073
290.0	0.068
290.5	0.064
291.0	0.060
291.5	0.054
292.0	0.051
292.5	0.048
293.0	0.044
293.5	0.041
294.0	0.038
294.5	0.037
295.0	0.035
295.5	0.033
296.0	0.031
296.5	0.029
297.0	0.027
297.5	0.027
298.0	0.027
298.5	0.025
299.0	0.024
299.5	0.022
300.0	0.019
300.5	0.018
301.0	0.017
301.5	0.016
302.0	0.014
302.5	0.012
303.0	0.011
303.5	0.009
304.0	0.007
304.5	0.004
305.0	0.002
305.5	0.001
306.0	0.000
306.5	0.002
307.0	0.001
307.5	0.001
308.0	0.001
308.5	0.001
309.0	0.001
309.5	0.002
310.0	0.003
310.5	0.002
311.0	0.003
311.5	0.004
312.0	0.006
312.5	0.006
313.0	0.007
313.5	0.006
314.0	0.005
314.5	0.005
315.0	0.005
315.5	0.006
316.0	0.006
316.5	0.005
317.0	0.005
317.5	0.004
318.0	0.003
318.5	0.002
319.0	0.003
319.5	0.002
