Sample 1
6/14/2023 2:42 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	3.446
220.5	3.300
221.0	3.162
221.5	3.028
222.0	2.900
222.5	2.782
223.0	2.672
223.5	2.566
224.0	2.466
224.5	2.379
225.0	2.311
225.5	2.259
226.0	2.222
226.5	2.195
227.0	2.175
227.5	2.161
228.0	2.151
228.5	2.147
229.0	2.148
229.5	2.153
230.0	2.162
230.5	2.175
231.0	2.192
231.5	2.214
232.0	2.240
232.5	2.273
233.0	2.311
233.5	2.356
234.0	2.407
234.5	2.464
235.0	2.530
235.5	2.601
236.0	2.677
236.5	2.753
237.0	2.839
237.5	2.932
238.0	3.038
238.5	3.150
239.0	3.268
239.5	3.383
240.0	3.493
240.5	3.596
241.0	3.693
241.5	3.789
242.0	3.885
242.5	3.989
243.0	4.106
243.5	4.228
244.0	4.350
244.5	4.466
245.0	4.578
245.5	4.686
246.0	4.793
246.5	4.901
247.0	5.009
247.5	5.116
248.0	5.225
248.5	5.330
249.0	5.428
249.5	5.517
250.0	5.601
250.5	5.686
251.0	5.775
251.5	5.864
252.0	5.956
252.5	6.048
253.0	6.136
253.5	6.212
254.0	6.277
254.5	6.329
255.0	6.372
255.5	6.406
256.0	6.430
256.5	6.444
257.0	6.448
257.5	6.445
258.0	6.434
258.5	6.417
259.0	6.396
259.5	6.372
260.0	6.344
260.5	6.315
261.0	6.283
261.5	6.249
262.0	6.209
262.5	6.162
263.0	6.107
263.5	6.042
264.0	5.961
264.5	5.868
265.0	5.764
265.5	5.656
266.0	5.554
266.5	5.453
267.0	5.352
267.5	5.249
268.0	5.139
268.5	5.026
269.0	4.917
269.5	4.812
270.0	4.710
270.5	4.609
271.0	4.506
271.5	4.404
272.0	4.300
272.5	4.194
273.0	4.086
273.5	3.979
274.0	3.873
274.5	3.769
275.0	3.667
275.5	3.557
276.0	3.444
276.5	3.327
277.0	3.212
277.5	3.100
278.0	2.988
278.5	2.878
279.0	2.769
279.5	2.664
280.0	2.564
280.5	2.470
281.0	2.375
281.5	2.281
282.0	2.188
282.5	2.096
283.0	2.008
283.5	1.922
284.0	1.840
284.5	1.762
285.0	1.688
285.5	1.615
286.0	1.540
286.5	1.465
287.0	1.387
287.5	1.310
288.0	1.236
288.5	1.171
289.0	1.105
289.5	1.041
290.0	0.980
290.5	0.918
291.0	0.856
291.5	0.796
292.0	0.739
292.5	0.688
293.0	0.639
293.5	0.595
294.0	0.551
294.5	0.508
295.0	0.468
295.5	0.430
296.0	0.394
296.5	0.364
297.0	0.337
297.5	0.312
298.0	0.290
298.5	0.268
299.0	0.246
299.5	0.226
300.0	0.206
300.5	0.189
301.0	0.172
301.5	0.155
302.0	0.139
302.5	0.123
303.0	0.110
303.5	0.099
304.0	0.088
304.5	0.080
305.0	0.072
305.5	0.065
306.0	0.058
306.5	0.053
307.0	0.048
307.5	0.043
308.0	0.039
308.5	0.035
309.0	0.033
309.5	0.030
310.0	0.029
310.5	0.028
311.0	0.026
311.5	0.025
312.0	0.024
312.5	0.023
313.0	0.021
313.5	0.019
314.0	0.017
314.5	0.015
315.0	0.015
315.5	0.014
316.0	0.014
316.5	0.012
317.0	0.010
317.5	0.010
318.0	0.008
318.5	0.008
319.0	0.007
319.5	0.005
320.0	0.004
320.5	0.004
321.0	0.004
321.5	0.005
322.0	0.005
322.5	0.004
323.0	0.004
323.5	0.004
324.0	0.005
324.5	0.005
325.0	0.005
325.5	0.005
326.0	0.005
326.5	0.005
327.0	0.006
327.5	0.005
328.0	0.006
328.5	0.005
329.0	0.004
329.5	0.004
330.0	0.004
330.5	0.003
331.0	0.003
331.5	0.003
332.0	0.004
332.5	0.005
333.0	0.006
333.5	0.005
334.0	0.005
334.5	0.005
335.0	0.004
335.5	0.003
336.0	0.004
336.5	0.003
337.0	0.003
337.5	0.002
338.0	0.002
338.5	0.002
339.0	0.003
339.5	0.002
340.0	0.000
340.5	-0.002
341.0	-0.001
341.5	-0.001
342.0	-0.001
342.5	-0.001
343.0	0.000
343.5	0.000
344.0	0.001
344.5	0.002
345.0	0.001
345.5	0.002
346.0	0.000
346.5	-0.001
347.0	-0.001
347.5	-0.001
348.0	0.000
348.5	0.000
349.0	0.001
349.5	0.002
350.0	0.002

